sender_iso3,recipient_iso3,year,arms_tiv,bilateral_debt,ucdp_troops,ucdp_weapons,ucdp_training,ucdp_funding,bilateral_aid,colonial_tie,journalist_killings,oda_received,us_intervention
ABW,ISR,1996,17.8,,0,0,0,0,,0,0.0,2216619999.2951,0
AGO,CIV,2002,1.72,,0,0,0,0,,0,0.0,836099980.745465,1
ALB,BFA,2011,1.2,,0,0,0,0,,0,0.0,594560005.377978,0
ARE,BHR,2010,14.8,,0,0,0,0,53272734.0,0,0.0,,0
ARE,BIH,1996,6.48,,0,0,0,0,,0,0.0,666760000.733659,1
ARE,BIH,1997,37.400000000000006,,0,0,0,0,,0,0.0,738329998.612404,1
ARE,IDN,1995,26.44,,0,0,0,0,,0,0.0,1243669978.87567,0
ARE,IRQ,2004,2.82,,0,0,0,0,,0,38.0,4605340006.7091,1
ARE,IRQ,2005,2.04,,0,0,0,0,,0,27.0,22028320132.7175,1
ARE,JOR,2005,9.0,,0,0,0,0,,0,0.0,478909986.577929,0
ARE,JOR,2013,33.0,,0,0,0,0,770222179.0,0,0.0,952679553.764639,1
ARE,LBN,2007,3.06,,0,0,0,0,330105100.0,0,0.0,547089999.25293,0
ARE,LBN,2010,24.0,,0,0,0,0,3475113.0,0,1.0,316790002.105758,0
ARE,LBY,2012,70.0,,0,0,0,0,40883.0,0,0.0,132833335.541189,0
ARE,LBY,2013,60.0,,0,1,0,0,,0,1.0,132382448.120508,0
ARE,NLD,1995,1.92,,0,0,0,0,,0,0.0,,0
ARE,OMN,2006,15.0,,0,0,0,0,,0,0.0,-14450000.8393079,0
ARE,PAK,2009,33.6,,0,0,0,0,290775487.0,0,8.0,1429449959.31908,1
ARE,SDN,2013,6.0,,0,0,0,0,,0,0.0,1192520848.78041,0
ARE,SSD,2013,8.8,,0,0,0,0,,0,0.0,1264918873.81673,0
ARE,SYC,2011,2.8,,0,0,0,0,146170.0,0,0.0,13029999.9341369,0
ARE,TZA,2006,1.66,,0,0,0,0,,0,0.0,1184619999.27461,0
ARG,BOL,2006,2.22,,0,0,0,0,,0,0.0,626349991.366267,0
ARG,ECU,1995,5.35,,0,0,0,0,,0,0.0,172930000.256747,0
ARG,LKA,1993,12.9,,0,0,0,0,,0,0.0,327209995.975718,0
ARG,LKA,1994,4.3,,0,0,0,0,,0,0.0,347430000.159889,0
ARG,PRY,2011,1.2,,0,0,0,0,,0,1.0,67450000.1929701,0
ARG,URY,1994,0.44,,0,0,0,0,,0,0.0,70770000.5173683,0
ARG,URY,2000,2.0,,0,0,0,0,,0,1.0,17829999.8287112,0
ARG,URY,2002,2.0,,0,0,0,0,,0,0.0,9569999.87736344,0
ARM,SDN,2006,4.4,,0,0,0,0,,0,1.0,1832800044.29072,0
AUS,BRN,1996,9.8,,0,0,0,0,,0,0.0,,0
AUS,CAN,2006,8.5,,0,0,0,0,,0,0.0,,0
AUS,CAN,2007,34.0,,0,0,0,0,,0,0.0,,0
AUS,CAN,2008,25.5,,0,0,0,0,,0,0.0,,0
AUS,FJI,1994,6.0,,0,0,0,0,18755755.0,0,0.0,37000000.4786999,0
AUS,FJI,1995,12.0,,0,0,0,0,13348608.0,0,0.0,38810000.2389401,0
AUS,GBR,2008,7.68,,0,0,0,0,,0,0.0,,0
AUS,GHA,2006,0.22,,0,0,0,0,476592.0,0,0.0,656969992.94497,0
AUS,IDN,1997,14.1,735069267.4,0,0,0,0,138767925.0,0,2.0,783659991.6704,0
AUS,IDN,2003,8.0,863297543.0,0,0,0,0,353441331.0,0,2.0,1638590033.4213,1
AUS,IDN,2013,18.48,510101704.5,0,0,0,0,544512105.0,0,0.0,79689936.5137805,0
AUS,IND,2002,16.6,19490206.0,0,0,0,0,9575674.0,0,3.0,883040019.903333,0
AUS,IND,2006,8.3,,0,0,0,0,16933153.0,0,2.0,863799989.834428,0
AUS,IND,2007,16.6,,0,0,0,0,5986218.0,0,3.0,1003910002.86117,0
AUS,IND,2008,16.6,,0,0,0,0,8889936.0,0,5.0,1678669995.39733,0
AUS,IND,2009,16.6,,0,0,0,0,10266366.0,0,1.0,1677310044.2756,0
AUS,IND,2010,16.6,,0,0,0,0,24682508.0,0,3.0,2319450036.30966,0
AUS,IND,2011,16.6,,0,0,0,0,24327117.0,0,2.0,2139180019.55748,0
AUS,IRQ,2004,0.22,,0,0,1,0,34119894.0,0,38.0,4605340006.7091,1
AUS,JOR,2006,0.66,,0,0,0,0,,0,0.0,415510000.867769,0
AUS,KWT,1993,30.0,,0,0,0,0,,0,0.0,1619999.96751546,0
AUS,KWT,1997,0.36,,0,0,0,0,,0,0.0,,0
AUS,KWT,1998,3.6,,0,0,0,0,,0,0.0,,0
AUS,LSO,2004,0.24,,0,0,0,0,63633.0,0,0.0,49229999.4099886,0
AUS,MYS,2001,0.69,,0,0,0,0,1593525.0,0,0.0,25389999.4567036,0
AUS,NLD,2006,8.0,,0,0,0,0,,0,0.0,,0
AUS,NLD,2007,1.6,,0,0,0,0,,0,0.0,,0
AUS,NLD,2008,6.08,,0,0,0,0,,0,0.0,,0
AUS,NLD,2009,11.84,,0,0,0,0,,0,0.0,,0
AUS,NZL,2009,56.0,,0,0,0,0,,0,0.0,,0
AUS,NZL,2010,66.0,,0,0,0,0,,0,0.0,,0
AUS,SGP,2010,30.0,,0,0,0,0,,0,0.0,,0
AUS,SGP,2011,30.0,,0,0,0,0,,0,0.0,,0
AUS,SGP,2012,15.0,,0,0,0,0,,0,0.0,,0
AUS,SGP,2013,6.0,,0,0,0,0,,0,0.0,,0
AUS,SWE,2003,5.6,,0,0,0,0,,0,0.0,,0
AUS,TTO,2010,24.0,,0,0,0,0,26310.0,0,0.0,4079999.93301928,0
AUS,USA,1994,18.0,,0,0,0,0,,0,0.0,,0
AUS,USA,1995,24.0,,0,0,0,0,,0,0.0,,0
AUS,USA,2001,42.0,,0,0,0,0,,0,2.0,,0
AUS,USA,2002,30.0,,0,0,0,0,,0,0.0,,0
AUS,USA,2003,30.0,,0,0,0,0,,0,0.0,,0
AUS,USA,2004,1.68,,0,0,0,0,,0,0.0,,0
AUS,USA,2011,96.0,,0,0,0,0,,0,0.0,,0
AUS,USA,2012,30.0,,0,0,0,0,,0,0.0,,0
AUS,USA,2013,30.0,,0,0,0,0,,0,0.0,,0
AUS,YEM,2005,49.0,,0,0,0,0,,0,0.0,194360001.668334,1
AUT,ARE,2006,1.6,,0,0,0,0,,0,0.0,,0
AUT,ARE,2007,2.4,,0,0,0,0,,0,0.0,,0
AUT,ARE,2008,3.0,,0,0,0,0,,0,0.0,,0
AUT,ARE,2009,3.0,,0,0,0,0,,0,0.0,,0
AUT,ARE,2010,2.0,,0,0,0,0,,0,0.0,,0
AUT,ARG,2007,2.8,,0,0,0,0,149128.0,0,0.0,70149998.0892985,0
AUT,BEL,1998,0.6,,0,0,0,0,,0,0.0,,0
AUT,BEL,1999,10.5,,0,0,0,0,,0,0.0,,0
AUT,BEL,2000,5.1,,0,0,0,0,,0,0.0,,0
AUT,BEL,2002,1.8,,0,0,0,0,,0,0.0,,0
AUT,BOL,2010,1.35,,0,0,0,0,169317.0,0,0.0,496330010.652542,0
AUT,BRA,2001,12.65,,0,0,0,0,1971845.0,0,1.0,226480004.567653,0
AUT,BWA,2000,14.6,,0,0,0,0,,0,0.0,27980000.1643598,0
AUT,CZE,2009,5.1,,0,0,0,0,,0,0.0,,0
AUT,CZE,2010,9.0,,0,0,0,0,,0,0.0,,0
AUT,CZE,2011,9.6,,0,0,0,0,,0,0.0,,0
AUT,CZE,2012,6.9,,0,0,0,0,,0,0.0,,0
AUT,CZE,2013,1.5,,0,0,0,0,,0,0.0,,0
AUT,EGY,2002,78.56,,0,0,0,0,1599121.0,0,0.0,1170059971.8336,0
AUT,ESP,2009,12.0,,0,0,0,0,,0,0.0,,0
AUT,ESP,2010,12.0,,0,0,0,0,,0,0.0,,0
AUT,ESP,2011,12.0,,0,0,0,0,,0,0.0,,0
AUT,ESP,2012,12.0,,0,0,0,0,,0,0.0,,0
AUT,ESP,2013,12.0,,0,0,0,0,,0,0.0,,0
AUT,FRA,2006,54.0,,0,0,0,0,,0,0.0,,0
AUT,FRA,2007,54.0,,0,0,0,0,,0,0.0,,0
AUT,FRA,2012,0.2,,0,0,0,0,,0,0.0,,0
AUT,GAB,2004,0.3,,0,0,0,0,14890.0,0,0.0,33159999.3798882,0
AUT,GBR,2008,1.2,,0,0,0,0,,0,0.0,,0
AUT,GHA,2011,1.0,,0,0,0,0,9042936.0,0,0.0,971319991.15087,0
AUT,GHA,2012,1.5,,0,0,0,0,21685531.0,0,0.0,929780554.784461,0
AUT,GRC,1992,20.4,,0,0,0,0,,0,0.0,,0
AUT,GRC,1993,9.6,,0,0,0,0,,0,0.0,,0
AUT,GRC,1994,17.1,,0,0,0,0,,0,0.0,,0
AUT,JAM,2013,0.7,,0,0,0,0,,0,0.0,44081986.4431396,0
AUT,JOR,2011,1.2,,0,0,0,0,125563.0,0,0.0,595740013.18775,0
AUT,JOR,2012,1.2,,0,0,0,0,1021027.0,0,0.0,977035025.879973,0
AUT,KOR,2012,0.6,,0,0,0,0,,0,0.0,,0
AUT,KWT,1997,0.3,,0,0,0,0,,0,0.0,,0
AUT,KWT,1998,10.5,,0,0,0,0,,0,0.0,,0
AUT,KWT,1999,10.2,,0,0,0,0,,0,0.0,,0
AUT,KWT,2013,12.6,,0,0,0,0,,0,0.0,,0
AUT,LBY,2011,0.8,,0,0,0,0,2032238.0,0,6.0,513280013.080686,1
AUT,NER,2008,1.0,,0,0,0,0,158912.0,0,0.0,421999999.286607,0
AUT,POL,2013,0.8,,0,0,0,0,,0,0.0,,0
AUT,PRT,2007,2.4,,0,0,0,0,,0,0.0,,0
AUT,PRT,2008,9.3,,0,0,0,0,,0,0.0,,0
AUT,PRT,2009,18.0,,0,0,0,0,,0,0.0,,0
AUT,PRT,2010,20.5,,0,0,0,0,,0,0.0,,0
AUT,PRT,2011,20.5,,0,0,0,0,,0,0.0,,0
AUT,SAU,2010,14.8,,0,0,0,0,,0,0.0,,0
AUT,SVN,1999,1.8,,0,0,0,0,4430205.0,0,0.0,28540000.4778058,0
AUT,SVN,2000,1.8,,0,0,0,0,8366764.0,0,0.0,59609999.5784461,0
AUT,SVN,2001,2.4,,0,0,0,0,4967481.0,0,0.0,124029997.976497,0
AUT,SVN,2002,2.4,,0,0,0,0,3832966.0,0,0.0,51189998.7477809,0
AUT,SVN,2003,2.4,,0,0,0,0,3902388.0,0,0.0,,0
