sender_iso3,recipient_iso3,year,arms_tiv,bilateral_oda,bilateral_debt,colonial_tie,journalist_killings
ABW,ISR,1996,17.8,,,0,0.0
AGO,CIV,2002,1.72,,,0,0.0
ALB,BFA,2011,1.2,,,0,0.0
ARE,BFA,2023,3.97,1.279386,,0,0.0
ARE,BGR,2021,0.72,,,0,0.0
ARE,BGR,2022,1.44,,,0,0.0
ARE,BHR,2010,14.8,,,0,0.0
ARE,BIH,1996,6.48,15.23,,0,0.0
ARE,BIH,1997,37.400000000000006,0.6,,0,0.0
ARE,CAF,2021,1.6,1.5,,0,0.0
ARE,CAN,2023,46.0,,,0,0.0
ARE,CAN,2024,46.0,,,0,0.0
ARE,CIV,2022,0.6,0.010001,,0,0.0
ARE,CMR,2018,0.28,0.26801,,0,0.0
ARE,CMR,2020,0.28,0.246862,,0,0.0
ARE,COD,2023,5.4,0.12941,,0,0.0
ARE,COG,2014,5.04,0.36493,,0,0.0
ARE,DZA,2014,5.5,4.55599,,0,0.0
ARE,DZA,2015,5.5,-6.576955,,0,0.0
ARE,DZA,2016,11.0,-3.75566,,0,0.0
ARE,DZA,2017,11.0,-1.458,,0,0.0
ARE,DZA,2018,37.5,-1.94347,,0,0.0
ARE,DZA,2019,39.75,-2.508848,,0,0.0
ARE,DZA,2022,2.5,,,0,0.0
ARE,EGY,2014,35.0,3163.32217,,0,1.0
ARE,EGY,2015,48.2,2452.160681,,0,0.0
ARE,EGY,2016,48.2,2060.45671,,0,0.0
ARE,EGY,2017,35.0,141.206,,0,0.0
ARE,EGY,2018,35.0,42.34623,,0,0.0
ARE,EGY,2019,35.0,245.806878,,0,0.0
ARE,EGY,2020,35.0,27.364042,,0,0.0
ARE,EGY,2021,36.0,-6.533013,,0,0.0
ARE,EGY,2022,1.0,15.737306,,0,0.0
ARE,EGY,2023,1.0,5.956666,,0,0.0
ARE,EGY,2024,1.0,-3.422503,,0,0.0
ARE,ETH,2024,5.4,6.692159,,0,0.0
ARE,GIN,2024,6.3999999999999995,0.740255,,0,0.0
ARE,IDN,1995,26.44,-0.87,,0,0.0
ARE,IRQ,2004,2.82,3.41,,0,38.0
ARE,IRQ,2005,2.04,11.03,,0,27.0
ARE,JOR,2005,9.0,65.01,,0,0.0
ARE,JOR,2013,33.0,128.947066,,0,0.0
ARE,JOR,2015,50.12,208.768846,,0,0.0
ARE,JOR,2017,1.26,460.832,,0,0.0
ARE,JOR,2019,10.0,156.18314,,0,0.0
ARE,JOR,2020,126.0,79.678758,,0,0.0
ARE,KEN,2018,2.88,4.89167,,0,0.0
ARE,KEN,2022,1.08,0.148375,,0,1.0
ARE,KWT,2017,22.4,,,0,0.0
ARE,KWT,2018,15.0,,,0,0.0
ARE,LBN,2007,3.06,352.61,,0,0.0
ARE,LBN,2010,24.0,,,0,1.0
ARE,LBN,2018,2.4,-24.57199,,0,0.0
ARE,LBR,2020,0.56,0.706726,,0,1.0
