recipient_iso3,year,arms_tiv_total,oda_total,econ_neocol_score_total,colonial_tie_flag,journalist_killings,gdp_per_capita,gdp_per_capita_log,population,population_log,armed_conflict,conflict_intensity,arms_tiv_in_strength_lag1,arms_tiv_out_strength_lag1,arms_tiv_dependency_balance_lag1,arms_tiv_in_concentration_lag1,arms_tiv_pagerank_lag1,bilateral_oda_in_strength_lag1,bilateral_oda_out_strength_lag1,bilateral_oda_dependency_balance_lag1,bilateral_oda_in_concentration_lag1,bilateral_oda_pagerank_lag1,colonial_tie_in_strength_lag1,colonial_tie_out_strength_lag1,colonial_tie_dependency_balance_lag1,colonial_tie_in_concentration_lag1,colonial_tie_pagerank_lag1,econ_neocol_score_in_strength_lag1,econ_neocol_score_out_strength_lag1,econ_neocol_score_dependency_balance_lag1,econ_neocol_score_in_concentration_lag1,econ_neocol_score_pagerank_lag1,arms_tiv_total_log,oda_total_log,arms_tiv_total_log_lag1,oda_total_log_lag1,econ_neocol_score_total_lag1
ABW,1992,0.0,29.85,0.0,0,0,13892.6051427736,9.539111973437375,69005.0,11.14193424472214,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,3.4291367503513968,,,
ABW,1993,0.0,22.97,0.0,0,0,14700.9598081521,9.5956680637069,73685.0,11.207554529647362,0.0,0.0,0.0,0.0,0.0,0.0,0.0039885339204346,3.4291367503513968,0.0,1.4882047005879973,1.0,0.0044299692698015,0.0,0.0,0.0,0.0,0.0047214296003094,0.0,0.0,0.0,0.0,0.0048780487804878,0.0,3.176803048446293,0.0,3.4291367503513968,0.0
ABW,1994,0.0,15.93,0.0,0,0,16055.2877874337,9.683793531460047,77595.0,11.259258271105724,0.0,0.0,0.0,0.0,0.0,0.0,0.0037646983771436,3.176803048446293,0.0,1.4295461329660493,1.0,0.004371464013009,0.0,0.0,0.0,0.0,0.0046339151038011,0.0,0.0,0.0,0.0,0.0047846889952153,0.0,2.829087196145044,0.0,3.176803048446293,0.0
ABW,1995,0.0,17.98,0.0,0,0,16548.7173868987,9.71406387852094,79805.0,11.28734143811666,0.0,0.0,0.0,0.0,0.0,0.0,0.00378630622791,2.829087196145044,0.0,1.3426264447992105,1.0,0.0043606744846046,0.0,0.0,0.0,0.0,0.0046554881643127,0.0,0.0,0.0,0.0,0.0048076923076922,0.0,2.9433857931817817,0.0,2.829087196145044,0.0
ABW,1996,0.0,20.33,0.0,0,0,16620.9545555513,9.718419500908857,83021.0,11.326848866824776,0.0,0.0,0.0,0.0,0.0,0.0,0.0037550006118269,2.9433857931817817,0.0,1.3720396926610283,1.0,0.0043893423222435,0.0,0.0,0.0,0.0,0.0046554881643127,0.0,0.0,0.0,0.0,0.004125879622069,0.0,3.0601145324832593,0.0,2.9433857931817817,0.0
ABW,1997,0.0,23.73,0.0,0,0,17750.0095644198,9.78414133374397,86301.0,11.3655964644899,0.0,0.0,0.0,2.933856869835904,-1.369620336446811,0.0,0.0037150446214156,3.0601145324832593,0.0,1.4012111831869936,1.0,0.0044141913965132,0.0,0.0,0.0,0.0,0.004677263028346,0.0,0.0,0.0,0.0,0.0041158364951908,0.0,3.208017081533325,0.0,3.0601145324832593,0.0
ABW,1998,0.0,10.69,0.0,0,0,18828.0870594071,9.84310502644316,88451.0,11.39020400534652,0.0,0.0,0.0,0.0,0.0,0.0,0.0038271789709733,3.227108681706855,0.0,1.441518232564001,0.9877236112147736,0.0044625670640927,0.0,0.0,0.0,0.0,0.0047664382312931,0.0,0.0,0.0,0.0,0.0041681161278798,0.0,2.458733775483977,0.0,3.208017081533325,0.0
ABW,1999,0.0,0.01,0.0,0,0,19216.1972354472,9.863508808393192,89659.0,11.403768864401638,0.0,0.0,0.0,0.0,0.0,0.0,0.0039188802309119,2.467828308253249,0.0,1.2435285502686704,0.9919684761731122,0.004360914943757,0.0,0.0,0.0,0.0,0.0047214296003094,0.0,0.0,0.0,0.0,0.0041568350979422,0.0,0.009950330853168083,0.0,2.458733775483977,0.0
AFG,1992,0.0,130.62,0.0,0,0,,,13278974.0,16.401692439991784,1.0,2.0,,,,,,,,,,,,,,,,,,,,,0.0,4.879918983027973,,,
AFG,1993,0.0,107.58,0.0,0,0,,,14943172.0,16.519765031063496,1.0,2.0,0.0,0.0,0.0,0.0,0.0039885339204346,25.434383079096342,0.0,3.2746655521386185,0.0850210346424999,0.005294903841793,0.0,0.0,0.0,0.0,0.0047214296003094,0.0,0.0,0.0,0.0,0.0048780487804878,0.0,4.687487228477305,0.0,4.879918983027973,0.0
AFG,1994,0.0,135.02,0.0,0,1,,,16250794.0,16.603652327084795,1.0,2.0,0.0,0.0,0.0,0.0,0.0037646983771436,23.531219921721423,0.0,3.19994658886102,0.0919792829349941,0.0049739677598689,0.0,0.0,0.0,0.0,0.0046339151038011,0.0,0.0,0.0,0.0,0.0047846889952153,0.0,4.912801933747493,0.0,4.687487228477305,0.0
AFG,1995,0.0,106.05,0.0,0,0,,,17065836.0,16.652589128282113,1.0,2.0,0.0,0.0,0.0,0.0,0.00378630622791,26.23561856244342,0.0,3.3045256226189723,0.0875408309138869,0.0049914097211763,0.0,0.0,0.0,0.0,0.0046554881643127,0.0,0.0,0.0,0.0,0.0048076923076922,0.0,4.6732960150356915,0.0,4.912801933747493,0.0
AFG,1996,0.0,84.58,0.0,0,0,,,17763266.0,16.692643175017825,1.0,2.0,0.0,0.0,0.0,0.0,0.0037550006118269,26.015622844593423,0.0,3.2964153225399135,0.0817199908783544,0.0050483766947594,0.0,0.0,0.0,0.0,0.0046554881643127,0.0,0.0,0.0,0.0,0.004125879622069,0.0,4.449451610988671,0.0,4.6732960150356915,0.0
AFG,1997,0.0,124.36,0.0,0,0,,,18452091.0,16.730688255362406,1.0,2.0,0.0,0.0,0.0,0.0,0.0037150446214156,24.527648190011895,0.0,3.2397621075433065,0.0781186593220841,0.0050847356012065,0.0,0.0,0.0,0.0,0.004677263028346,0.0,0.0,0.0,0.0,0.0041158364951908,0.0,4.831189598047765,0.0,4.449451610988671,0.0
AFG,1998,0.0,98.46,0.0,0,1,,,19159996.0,16.7683351217387,1.0,2.0,0.0,0.0,0.0,0.0,0.0038271789709733,26.97357380724247,0.0,3.331260271924062,0.0805572136768493,0.0052669026988921,0.0,0.0,0.0,0.0,0.0047664382312931,0.0,0.0,0.0,0.0,0.0041681161278798,0.0,4.599755553286593,0.0,4.831189598047765,0.0
AFG,1999,0.0,104.6,0.0,0,0,,,19887785.0,16.805616282135176,1.0,2.0,0.0,0.0,0.0,0.0,0.0039188802309119,25.89588250612754,0.0,3.291973208205184,0.0789280930786474,0.0052190324888196,0.0,0.0,0.0,0.0,0.0047214296003094,0.0,0.0,0.0,0.0,0.0041568350979422,0.0,4.659658371272161,0.0,4.599755553286593,0.0
AFG,2000,0.0,87.69,4.297021584084753,0,0,174.930991430166,5.16439156146838,20130327.0,16.81773804189536,1.0,2.0,0.0,0.0,0.0,0.0,0.0039953869641124,25.246204571022023,0.0,3.267521390813224,0.0839239950997503,0.0050638909382126,0.0,0.0,0.0,0.0,0.0047438271604938,0.0,0.0,0.0,0.0,0.0041905978418183,0.0,4.485147143388361,0.0,4.659658371272161,0.0
AFG,2001,0.0,329.91,4.226442734898529,0,9,138.706821676113,4.932362509068179,20284307.0,16.825358090864352,1.0,2.0,0.0,0.0,0.0,0.0,0.0041087463770653,25.02308688227724,0.0,3.2589841010315386,0.0797257558867099,0.0054088799797664,0.0,0.0,0.0,0.0,0.0049553940596712,18.338242284041993,0.0,2.9620846008918567,0.1004958919474837,0.0048241871764521,0.0,5.80184643508139,0.0,4.485147143388361,4.297021584084753
AFG,2002,34.4,1019.27,5.488853232082333,0,0,178.954088379235,5.187129283440217,21378117.0,16.877878386717132,1.0,1.0,0.0,0.0,0.0,0.0,0.0041675269625,50.80649858588543,0.0,3.9475155967225497,0.0524767529966535,0.0084083658006885,0.0,0.0,0.0,0.0,0.0049553940596712,18.213507493218124,0.0,2.955613546954648,0.0967326724199366,0.0048166780016292,3.5667118201397288,6.927822577132249,0.0,5.80184643508139,4.226442734898529
AFG,2003,0.0,1230.89,5.366944596406939,0,0,198.871115728727,5.29265695524774,22733049.0,16.939330326735984,1.0,1.0,3.5667118201397288,0.0,1.5187934317389258,1.0,0.0040470315125913,74.07165265839431,0.0,4.318443026240606,0.0452169171481805,0.0115854935220062,0.0,0.0,0.0,0.0,0.0049309593253956,37.08599106816592,0.0,3.6398465260190824,0.0675330818615767,0.0062636976073839,0.0,7.116304854392973,3.5667118201397288,6.927822577132249,5.488853232082333
AFG,2004,0.0,1761.1,5.455880350765493,0,0,221.763653873013,5.401612192565894,23560654.0,16.975088675275803,1.0,1.0,0.0,0.0,0.0,0.0,0.0041449840430228,72.33657042135918,0.0,4.295059398819461,0.049088746600185,0.0078903568575856,0.0,0.0,0.0,0.0,0.0049553940596712,35.68702625852232,0.0,3.6024231846196915,0.067420129123491,0.0053476030634342,0.0,7.4742615585746845,0.0,7.116304854392973,5.366944596406939
AFG,2005,33.400000000000006,2233.69,5.366192460362761,0,0,254.184249149336,5.538059394401834,24404567.0,17.01028084488006,1.0,2.0,0.0,0.0,0.0,0.0,0.0039342792760403,85.63530550270538,0.0,4.461707417276272,0.0422794767399493,0.0084641065725628,0.0,0.0,0.0,0.0,0.0049309593253956,41.76457770257291,0.0,3.755710136146455,0.0574445148928545,0.005465146546322,3.5380565643793527,7.711857794966743,0.0,7.4742615585746845,5.455880350765493
AFG,2006,3.36,2488.4700000000003,5.885483014079304,0,3,274.218553561575,5.613925429177434,25424094.0,17.051207865045694,1.0,2.0,5.7329528519559805,0.0,1.907013807007211,0.500864700934263,0.0042502877948794,86.18473063146558,0.0,4.468029208144515,0.0423236791627472,0.0089810845959417,0.0,0.0,0.0,0.0,0.0048828057072608,40.32402864062668,0.0,3.721444138061847,0.0574469242053385,0.0058882510141058,1.4724720573609429,7.819825115397055,3.5380565643793527,7.711857794966743,5.366192460362761
