recipient_iso3,year,arms_tiv_total,oda_total,econ_neocol_score_total,colonial_tie_flag,journalist_killings,gdp_per_capita,gdp_per_capita_log,population,population_log,armed_conflict,conflict_intensity
ABW,1992,0.0,29.85,0.0,0,0,13892.6051427736,9.539111973437375,69005.0,11.14193424472214,0.0,0.0
ABW,1993,0.0,22.97,0.0,0,0,14700.9598081521,9.5956680637069,73685.0,11.207554529647362,0.0,0.0
ABW,1994,0.0,15.93,0.0,0,0,16055.2877874337,9.683793531460047,77595.0,11.259258271105724,0.0,0.0
ABW,1995,0.0,17.98,0.0,0,0,16548.7173868987,9.71406387852094,79805.0,11.28734143811666,0.0,0.0
ABW,1996,0.0,20.33,0.0,0,0,16620.9545555513,9.718419500908857,83021.0,11.326848866824776,0.0,0.0
ABW,1997,0.0,23.73,0.0,0,0,17750.0095644198,9.78414133374397,86301.0,11.3655964644899,0.0,0.0
ABW,1998,0.0,10.69,0.0,0,0,18828.0870594071,9.84310502644316,88451.0,11.39020400534652,0.0,0.0
ABW,1999,0.0,0.01,0.0,0,0,19216.1972354472,9.863508808393192,89659.0,11.403768864401638,0.0,0.0
AFG,1992,0.0,130.62,0.0,0,0,,,13278974.0,16.401692439991784,1.0,2.0
AFG,1993,0.0,107.58,0.0,0,0,,,14943172.0,16.519765031063496,1.0,2.0
AFG,1994,0.0,135.02,0.0,0,1,,,16250794.0,16.603652327084795,1.0,2.0
AFG,1995,0.0,106.05,0.0,0,0,,,17065836.0,16.652589128282113,1.0,2.0
AFG,1996,0.0,84.58,0.0,0,0,,,17763266.0,16.692643175017825,1.0,2.0
AFG,1997,0.0,124.36,0.0,0,0,,,18452091.0,16.730688255362406,1.0,2.0
AFG,1998,0.0,98.46,0.0,0,1,,,19159996.0,16.7683351217387,1.0,2.0
AFG,1999,0.0,104.6,0.0,0,0,,,19887785.0,16.805616282135176,1.0,2.0
AFG,2000,0.0,87.69,4.297021584084753,0,0,174.930991430166,5.16439156146838,20130327.0,16.81773804189536,1.0,2.0
AFG,2001,0.0,329.91,4.226442734898529,0,9,138.706821676113,4.932362509068179,20284307.0,16.825358090864352,1.0,2.0
AFG,2002,34.4,1019.27,5.488853232082333,0,0,178.954088379235,5.187129283440217,21378117.0,16.877878386717132,1.0,1.0
AFG,2003,0.0,1230.89,5.366944596406939,0,0,198.871115728727,5.29265695524774,22733049.0,16.939330326735984,1.0,1.0
AFG,2004,0.0,1761.1,5.455880350765493,0,0,221.763653873013,5.401612192565894,23560654.0,16.975088675275803,1.0,1.0
AFG,2005,33.400000000000006,2233.69,5.366192460362761,0,0,254.184249149336,5.538059394401834,24404567.0,17.01028084488006,1.0,2.0
AFG,2006,3.36,2488.4700000000003,5.885483014079304,0,3,274.218553561575,5.613925429177434,25424094.0,17.051207865045694,1.0,2.0
AFG,2007,39.96,4113.01,5.867744150009332,0,3,376.223152003876,5.9301824567167385,25909852.0,17.070133840441702,1.0,2.0
AFG,2008,130.29000000000002,4172.09,5.626797074950492,0,2,381.73323802844,5.944722034892284,26482622.0,17.091999302258,1.0,2.0
AFG,2009,326.27,5281.96,5.407360965362523,0,3,452.053705477043,6.113800990201086,27466101.0,17.12846311133932,1.0,2.0
AFG,2010,365.2,5667.75,5.9617703160305,0,3,560.621505463146,6.329045999506046,28284089.0,17.15780997835667,1.0,2.0
AFG,2011,632.41,6122.907733999999,6.580455496343079,0,2,606.694676337726,6.4080256601244,29347708.0,17.194725009195857,1.0,2.0
AFG,2012,517.99,5874.376438,6.050823379632457,0,1,651.417134470046,6.479150196564419,30560034.0,17.23520363482742,1.0,2.0
AFG,2013,252.86,4424.20702,5.816582587910291,0,0,637.087099117099,6.456906379532865,31622704.0,17.26938590158588,1.0,2.0
AFG,2014,322.55,4186.252493999999,5.685984100501793,0,5,625.054941813938,6.437839552775117,32792523.0,17.30571109005108,1.0,2.0
AFG,2015,131.02,3708.081208,5.733196598022054,0,0,565.569730408751,6.337833595485375,33831764.0,17.33691068246577,1.0,2.0
AFG,2016,171.0,3260.218753,6.021918839513563,0,6,522.082215583898,6.257825076599218,34700612.0,17.362267881649167,1.0,2.0
AFG,2017,235.94,2907.9688610000003,5.983809696761914,0,11,525.469770891619,6.264292664193559,35688935.0,17.390351254729715,1.0,2.0
AFG,2018,312.76,2711.767957,5.836104323519857,0,16,491.337221382603,6.197130697311605,36743039.0,17.419459350715854,1.0,2.0
