recipient_iso3,year,arms_tiv_total,oda_total,econ_neocol_score_total,colonial_tie_flag,journalist_killings,gdp_per_capita,gdp_per_capita_log,population,population_log,armed_conflict,conflict_intensity,arms_tiv_stock_5yr,econ_neocol_score_mean
ABW,1992,0.0,29.85,0.0,0,0,13892.6051427736,9.539111973437375,69005.0,11.14193424472214,0.0,0.0,0.0,
ABW,1993,0.0,22.97,0.0,0,0,14700.9598081521,9.5956680637069,73685.0,11.207554529647362,0.0,0.0,0.0,
ABW,1994,0.0,15.93,0.0,0,0,16055.2877874337,9.683793531460047,77595.0,11.259258271105724,0.0,0.0,0.0,
ABW,1995,0.0,17.98,0.0,0,0,16548.7173868987,9.71406387852094,79805.0,11.28734143811666,0.0,0.0,0.0,
ABW,1996,0.0,20.33,0.0,0,0,16620.9545555513,9.718419500908857,83021.0,11.326848866824776,0.0,0.0,0.0,
ABW,1997,0.0,23.73,0.0,0,0,17750.0095644198,9.78414133374397,86301.0,11.3655964644899,0.0,0.0,0.0,
ABW,1998,0.0,10.69,0.0,0,0,18828.0870594071,9.84310502644316,88451.0,11.39020400534652,0.0,0.0,0.0,
ABW,1999,0.0,0.01,0.0,0,0,19216.1972354472,9.863508808393192,89659.0,11.403768864401638,0.0,0.0,0.0,
AFG,1992,0.0,130.62,0.0,0,0,,,13278974.0,16.401692439991784,1.0,2.0,0.0,
AFG,1993,0.0,107.58,0.0,0,0,,,14943172.0,16.519765031063496,1.0,2.0,0.0,
AFG,1994,0.0,135.02,0.0,0,1,,,16250794.0,16.603652327084795,1.0,2.0,0.0,
AFG,1995,0.0,106.05,0.0,0,0,,,17065836.0,16.652589128282113,1.0,2.0,0.0,
AFG,1996,0.0,84.58,0.0,0,0,,,17763266.0,16.692643175017825,1.0,2.0,0.0,
AFG,1997,0.0,124.36,0.0,0,0,,,18452091.0,16.730688255362406,1.0,2.0,0.0,
AFG,1998,0.0,98.46,0.0,0,1,,,19159996.0,16.7683351217387,1.0,2.0,0.0,
AFG,1999,0.0,104.6,0.0,0,0,,,19887785.0,16.805616282135176,1.0,2.0,0.0,
AFG,2000,0.0,87.69,18.338242284041993,0,0,174.930991430166,5.16439156146838,20130327.0,16.81773804189536,1.0,2.0,0.0,0.8732496325734282
AFG,2001,0.0,329.91,18.213507493218124,0,9,138.706821676113,4.932362509068179,20284307.0,16.825358090864352,1.0,2.0,0.0,0.7588961455507551
AFG,2002,34.4,1019.27,37.08599106816592,0,0,178.954088379235,5.187129283440217,21378117.0,16.877878386717132,1.0,1.0,34.4,1.2361997022721976
AFG,2003,0.0,1230.89,35.68702625852232,0,0,198.871115728727,5.29265695524774,22733049.0,16.939330326735984,1.0,1.0,34.4,1.274536652090083
AFG,2004,0.0,1761.1,41.76457770257291,0,0,221.763653873013,5.401612192565894,23560654.0,16.975088675275803,1.0,1.0,34.4,1.3921525900857636
AFG,2005,33.400000000000006,2233.69,40.32402864062668,0,0,254.184249149336,5.538059394401834,24404567.0,17.01028084488006,1.0,2.0,67.80000000000001,1.2601258950195837
AFG,2006,3.36,2488.4700000000003,52.020106772001405,0,3,274.218553561575,5.613925429177434,25424094.0,17.051207865045694,1.0,2.0,71.16000000000001,1.5763668718788304
AFG,2007,39.96,4113.01,54.607766522772486,0,3,376.223152003876,5.9301824567167385,25909852.0,17.070133840441702,1.0,2.0,76.72,1.6061107800815437
AFG,2008,130.29000000000002,4172.09,49.966635210026034,0,2,381.73323802844,5.944722034892284,26482622.0,17.091999302258,1.0,2.0,207.01000000000002,1.4276181488578867
AFG,2009,326.27,5281.96,35.50644250842324,0,3,452.053705477043,6.113800990201086,27466101.0,17.12846311133932,1.0,2.0,533.28,1.0144697859549499
AFG,2010,365.2,5667.75,46.704282117144025,0,3,560.621505463146,6.329045999506046,28284089.0,17.15780997835667,1.0,2.0,865.0799999999999,1.373655356386589
AFG,2011,632.41,6122.907733999999,60.64832853297675,0,2,606.694676337726,6.4080256601244,29347708.0,17.194725009195857,1.0,2.0,1494.13,1.6846757925826874
AFG,2012,517.99,5874.376438,54.30138081773615,0,1,651.417134470046,6.479150196564419,30560034.0,17.23520363482742,1.0,2.0,1972.1599999999999,1.55146802336389
AFG,2013,252.86,4424.20702,49.49604416920593,0,0,637.087099117099,6.456906379532865,31622704.0,17.26938590158588,1.0,2.0,2094.73,1.3377309234920522
AFG,2014,322.55,4186.252493999999,44.691662672844885,0,5,625.054941813938,6.437839552775117,32792523.0,17.30571109005108,1.0,2.0,2091.01,1.2414350742456912
AFG,2015,131.02,3708.081208,48.72425940467476,0,0,565.569730408751,6.337833595485375,33831764.0,17.33691068246577,1.0,2.0,1856.83,1.282217352754599
AFG,2016,171.0,3260.218753,52.04808161719169,0,6,522.082215583898,6.257825076599218,34700612.0,17.362267881649167,1.0,2.0,1395.42,1.3012020404297924
AFG,2017,235.94,2907.9688610000003,50.5605822759706,0,11,525.469770891619,6.264292664193559,35688935.0,17.390351254729715,1.0,2.0,1113.3700000000001,1.3665022236748812
AFG,2018,312.76,2711.767957,47.36056114623964,0,16,491.337221382603,6.197130697311605,36743039.0,17.419459350715854,1.0,2.0,1173.27,1.2800151661145849
AFG,2019,380.75,3059.4105870000003,45.74936240141771,0,2,496.6025042585,6.207789915869446,37856121.0,17.44930324207805,1.0,2.0,1231.4700000000003,1.2364692540923705
AFG,2020,231.26,2393.369029,44.13537060614356,0,6,510.787063366811,6.235952797617645,39068979.0,17.480839334107248,1.0,2.0,1331.71,1.1316761693882964
AFG,2021,64.83,3581.803974,49.16793414387072,0,4,356.496214115892,5.876323620207197,40000412.0,17.504400312025165,1.0,2.0,1225.5400000000002,1.2607162600992494
AFG,2022,0.0,3048.7120269999996,39.7986485348972,0,0,357.261152798144,5.878467034791953,40578842.0,17.518757355730035,1.0,1.0,989.6000000000001,1.1055180148582557
AFG,2023,0.0,2254.1264149999997,34.109768154473414,0,1,413.757894705303,6.0252810073679735,41454761.0,17.540113294228174,1.0,1.0,676.8400000000001,1.033629338014346
AFG,2024,0.0,1588.221379,0.0,0,0,,,42647492.0,17.568479025952527,1.0,1.0,296.0900000000001,
AGO,1992,0.0,194.17,0.0,1,1,668.706017459877,6.505344527763092,12423712.0,16.33511746260186,1.0,2.0,0.0,
AGO,1993,102.88,154.31,0.0,1,3,449.727894936295,6.108642721953597,12827135.0,16.367073406901117,1.0,2.0,102.88,
AGO,1994,113.46,223.84,0.0,1,1,334.973590276074,5.81405169372063,13249764.0,16.399490298917126,1.0,2.0,216.33999999999997,
AGO,1995,0.96,241.88,66.68933701797398,1,1,404.29481849612,6.002144360576769,13699778.0,16.432890186287498,1.0,1.0,217.29999999999998,3.031333500816999
AGO,1996,43.7,294.59000000000003,66.89422112358943,1,1,531.115366543271,6.27497926043715,14170973.0,16.466706275505636,1.0,1.0,261.0,3.0406464147086107
AGO,1997,7.300000000000001,227.18,66.44962967511368,1,0,521.70291489053,6.257098297305301,14660413.0,16.500661425922274,1.0,1.0,268.3,2.889114333700595
AGO,1998,149.72,214.59,72.06118960592384,1,1,429.188126933192,6.061895347124123,15159370.0,16.534129380586762,1.0,2.0,315.14,2.7715842156124557
