donor,recipient,year,aid_amount,recipient_iso3
African Capacity Building Foundation (ACBF),Angola,2008,1504958,AGO
African Capacity Building Foundation (ACBF),Benin,2007,1650301,BEN
African Capacity Building Foundation (ACBF),Botswana,2006,2019974,BWA
African Capacity Building Foundation (ACBF),Burkina Faso,2005,2065134,BFA
African Capacity Building Foundation (ACBF),Burkina Faso,2006,2376440,BFA
African Capacity Building Foundation (ACBF),Burkina Faso,2008,522555,BFA
African Capacity Building Foundation (ACBF),Burundi,2006,3658630,BDI
African Capacity Building Foundation (ACBF),Burundi,2008,4702995,BDI
African Capacity Building Foundation (ACBF),Cameroon,2001,2779851,CMR
African Capacity Building Foundation (ACBF),Cameroon,2003,2085653,CMR
African Capacity Building Foundation (ACBF),Cameroon,2004,4996491,CMR
African Capacity Building Foundation (ACBF),Cameroon,2008,1463154,CMR
African Capacity Building Foundation (ACBF),Cape Verde,2005,1579219,CPV
African Capacity Building Foundation (ACBF),Central African Republic,2006,1663508,CAF
African Capacity Building Foundation (ACBF),Chad,2003,1280632,TCD
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2001,2599794,COD
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2003,2036541,COD
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2004,2248421,COD
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2006,2376440,COD
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2007,2750501,COD
African Capacity Building Foundation (ACBF),"Congo, Republic of",2003,2075410,COG
African Capacity Building Foundation (ACBF),"Congo, Republic of",2004,1873684,COG
African Capacity Building Foundation (ACBF),"Congo, Republic of",2006,2376440,COG
African Capacity Building Foundation (ACBF),Cote d`Ivoire,2000,2735819,CIV
African Capacity Building Foundation (ACBF),Cote d`Ivoire,2006,2019974,CIV
African Capacity Building Foundation (ACBF),Djibouti,2003,1366253,DJI
African Capacity Building Foundation (ACBF),Djibouti,2005,819980,DJI
African Capacity Building Foundation (ACBF),Djibouti,2007,770140,DJI
African Capacity Building Foundation (ACBF),Eritrea,2005,1093306,ERI
African Capacity Building Foundation (ACBF),Ethiopia,2001,2440107,ETH
African Capacity Building Foundation (ACBF),Ethiopia,2005,971828,ETH
African Capacity Building Foundation (ACBF),Ethiopia,2008,1463154,ETH
African Capacity Building Foundation (ACBF),Gabon,2000,2219304,GAB
African Capacity Building Foundation (ACBF),Gabon,2003,1786048,GAB
African Capacity Building Foundation (ACBF),Gabon,2006,3861715,GAB
African Capacity Building Foundation (ACBF),Gambia,2008,1045110,GMB
African Capacity Building Foundation (ACBF),Ghana,2003,2051462,GHA
African Capacity Building Foundation (ACBF),Ghana,2007,1650301,GHA
African Capacity Building Foundation (ACBF),Ghana,2008,2299242,GHA
