colony,colonizer,col_start,col_end,colony_iso3
Burundi,belgium,1923.0,1962.0,BDI
Congo - Kinshasa,belgium,1885.0,1960.0,COD
Rwanda,belgium,1922.0,1962.0,RWA
Antigua & Barbuda,britain,1632.0,1981.0,ATG
Australia,britain,1829.0,1919.0,AUS
Bahamas,britain,1783.0,1973.0,BHS
Bahrain,britain,1861.0,1971.0,BHR
Bangladesh,britain,1857.0,1947.0,BGD
Barbados,britain,1627.0,1966.0,BRB
Belize,britain,1798.0,1981.0,BLZ
Bhutan,britain,1910.0,1949.0,BTN
Botswana,britain,1895.0,1966.0,BWA
Brunei,britain,1888.0,1984.0,BRN
Canada,britain,1763.0,1919.0,CAN
Cyprus,britain,1914.0,1960.0,CYP
Dominica,britain,1805.0,1978.0,DMA
Egypt,britain,1882.0,1935.0,EGY
Equatorial Guinea,britain,1827.0,1857.0,GNQ
Eritrea,britain,1941.0,1951.0,ERI
Eswatini,britain,1903.0,1968.0,SWZ
Fiji,britain,1874.0,1970.0,FJI
Gambia,britain,1888.0,1965.0,GMB
Ghana,britain,1874.0,1957.0,GHA
Grenada,britain,1762.0,1974.0,GRD
Guyana,britain,1814.0,1966.0,GUY
India,britain,1857.0,1947.0,IND
Iraq,britain,1920.0,1932.0,IRQ
Israel,britain,1923.0,1948.0,ISR
Jamaica,britain,1655.0,1962.0,JAM
Jordan,britain,1923.0,1946.0,JOR
Kenya,britain,1895.0,1963.0,KEN
Kiribati,britain,1892.0,1979.0,KIR
Kuwait,britain,1914.0,1961.0,KWT
Lesotho,britain,1884.0,1966.0,LSO
Libya,britain,1946.0,1952.0,LBY
Malawi,britain,1891.0,1964.0,MWI
Malaysia,britain,1888.0,1963.0,MYS
Maldives,britain,1887.0,1965.0,MDV
Mauritius,britain,1810.0,1968.0,MUS
Myanmar (Burma),britain,1886.0,1948.0,MMR
Namibia,britain,1915.0,1920.0,NAM
Nauru,britain,1914.0,1968.0,NRU
New Zealand,britain,1840.0,1920.0,NZL
Nigeria,britain,1899.0,1960.0,NGA
Pakistan,britain,1857.0,1947.0,PAK
Papua New Guinea,britain,1884.0,1920.0,PNG
Qatar,britain,1916.0,1971.0,QAT
Samoa,britain,1914.0,1920.0,WSM
Senegal,britain,1693.0,1817.0,SEN
Seychelles,britain,1814.0,1976.0,SYC
Sierra Leone,britain,1896.0,1961.0,SLE
Singapore,britain,1826.0,1963.0,SGP
Solomon Islands,britain,1893.0,1978.0,SLB
Somalia,britain,1888.0,1960.0,SOM
South Africa,britain,1814.0,1920.0,ZAF
Sri Lanka,britain,1798.0,1948.0,LKA
St. Kitts & Nevis,britain,1623.0,1983.0,KNA
St. Lucia,britain,1814.0,1979.0,LCA
St. Vincent & Grenadines,britain,1762.0,1979.0,VCT
Sudan,britain,1898.0,1956.0,SDN
Tanzania,britain,1918.0,1963.0,TZA
Tonga,britain,1900.0,1970.0,TON
Trinidad & Tobago,britain,1797.0,1962.0,TTO
Tuvalu,britain,1892.0,1979.0,TUV
Uganda,britain,1894.0,1962.0,UGA
United Arab Emirates,britain,1892.0,1971.0,ARE
United States,britain,1607.0,1783.0,USA
Vanuatu,britain,1906.0,1980.0,VUT
Yemen,britain,1959.0,1967.0,YEM
Zambia,britain,1923.0,1964.0,ZMB
Zimbabwe,britain,1923.0,1980.0,ZWE
Algeria,france,1848.0,1962.0,DZA
Benin,france,1894.0,1960.0,BEN
Burkina Faso,france,1895.0,1960.0,BFA
Cambodia,france,1884.0,1953.0,KHM
Cameroon,france,1922.0,1960.0,CMR
Canada,france,1608.0,1763.0,CAN
Central African Republic,france,1906.0,1960.0,CAF
Chad,france,1910.0,1960.0,TCD
Comoros,france,1914.0,1975.0,COM
Congo - Brazzaville,france,1882.0,1960.0,COG
Djibouti,france,1884.0,1977.0,DJI
Dominica,france,1632.0,1763.0,DMA
Gabon,france,1886.0,1960.0,GAB
Grenada,france,1650.0,1762.0,GRD
Guinea,france,1881.0,1958.0,GIN
Haiti,france,1665.0,1804.0,HTI
