country,country_code,year,oda_received
Aruba,ABW,1990,29920000.0762939
Africa Eastern and Southern,AFE,1990,7405140025.53746
Afghanistan,AFG,1990,102739999.111742
Africa Western and Central,AFW,1990,4835199988.23293
Angola,AGO,1990,217140000.108629
Albania,ALB,1990,9019999.75927174
Arab World,ARB,1990,6078449986.97378
United Arab Emirates,ARE,1990,2819999.92206693
Argentina,ARG,1990,168090000.078082
Antigua and Barbuda,ATG,1990,3929999.91774559
Burundi,BDI,1990,193280000.833795
Benin,BEN,1990,170140005.245805
Burkina Faso,BFA,1990,258920001.389459
Bangladesh,BGD,1990,1162029983.70118
Bulgaria,BGR,1990,11520000.0200421
Bahrain,BHR,1990,1859999.9602884
"Bahamas, The",BHS,1990,869999.999180436
Belize,BLZ,1990,21010000.2530962
Bermuda,BMU,1990,42190001.8323213
Bolivia,BOL,1990,390209996.854886
Brazil,BRA,1990,146880003.651604
Barbados,BRB,1990,1820000.05058944
Brunei Darussalam,BRN,1990,3839999.89740551
Bhutan,BTN,1990,21970000.0025332
Botswana,BWA,1990,129530000.904575
Central African Republic,CAF,1990,132769998.203963
Central Europe and the Baltics,CEB,1990,1630290001.20983
Chile,CHL,1990,103649998.193607
China,CHN,1990,1516980023.76966
Cote d'Ivoire,CIV,1990,666990002.620965
Cameroon,CMR,1990,433859998.615459
"Congo, Dem. Rep.",COD,1990,684420005.384833
"Congo, Rep.",COG,1990,211399997.990579
Colombia,COL,1990,91849999.8729676
Comoros,COM,1990,37999999.480322
Cabo Verde,CPV,1990,85809999.3020296
Costa Rica,CRI,1990,211469998.657703
Caribbean small states,CSS,1990,469040001.65686
Cuba,CUB,1990,33740001.0470301
Cayman Islands,CYM,1990,2140000.10490417
Cyprus,CYP,1990,18840000.0203401
Czechia,CZE,1990,13600000.0573695
Djibouti,DJI,1990,91939998.2709438
Dominica,DMA,1990,12490000.0207126
Dominican Republic,DOM,1990,82620000.364259
Algeria,DZA,1990,112230001.263321
East Asia & Pacific (excluding high income),EAP,1990,7109500069.20658
Early-demographic dividend,EAR,1990,17283539990.155
East Asia & Pacific,EAS,1990,7109500069.20658
Europe & Central Asia (excluding high income),ECA,1990,633049983.480945
Europe & Central Asia,ECS,1990,636669983.472675
Ecuador,ECU,1990,129109999.91931
"Egypt, Arab Rep.",EGY,1990,3211029996.27404
Euro area,EMU,1990,29560000.0862032
Ethiopia,ETH,1990,618970004.325733
European Union,EUU,1990,1653050001.25244
Fragile and conflict affected situations,FCS,1990,7151899995.50395
Fiji,FJI,1990,46390000.7978082
Gabon,GAB,1990,129149998.350069
Ghana,GHA,1990,285029998.254031
Gibraltar,GIB,1990,560000.011697412
Guinea,GIN,1990,171649997.487664
"Gambia, The",GMB,1990,62200000.8188189
Guinea-Bissau,GNB,1990,79880000.3174693
Equatorial Guinea,GNQ,1990,51599999.7444451
Grenada,GRD,1990,7829999.84733759
Guatemala,GTM,1990,160050000.529736
Guyana,GUY,1990,65030001.4875829
High income,HIC,1990,2864199993.0311
"Hong Kong SAR, China",HKG,1990,22449999.6490777
Honduras,HND,1990,393849996.292964
Heavily indebted poor countries (HIPC),HPC,1990,11352350008.3126
Haiti,HTI,1990,127630001.300946
Hungary,HUN,1990,63710000.731051
IBRD only,IBD,1990,17466670053.3852
IDA & IBRD total,IBT,1990,33541700045.241
IDA total,IDA,1990,16075029991.8558
IDA blend,IDB,1990,3135709987.85645
Indonesia,IDN,1990,1533110036.8835
IDA only,IDX,1990,12939320003.9994
India,IND,1990,810260002.108291
"Iran, Islamic Rep.",IRN,1990,36669998.044148
Iraq,IRQ,1990,-8560000.29854473
Israel,ISR,1990,1371890000.22598
Jamaica,JAM,1990,259239999.812096
Jordan,JOR,1990,441619990.37303
