donor,recipient,year,aid_amount
African Capacity Building Foundation (ACBF),"Africa, Regional Programs, Regional Programs",2000,6239039
African Capacity Building Foundation (ACBF),"Africa, Regional Programs, Regional Programs",2001,2440107
African Capacity Building Foundation (ACBF),"Africa, Regional Programs, Regional Programs",2004,4371929
African Capacity Building Foundation (ACBF),"Africa, Regional Programs, Regional Programs",2005,17006982
African Capacity Building Foundation (ACBF),"Africa, Regional Programs, Regional Programs",2006,28517280
African Capacity Building Foundation (ACBF),"Africa, Regional Programs, Regional Programs",2007,5501003
African Capacity Building Foundation (ACBF),"Africa, Regional Programs, Regional Programs",2008,1567665
African Capacity Building Foundation (ACBF),"Africa, South of Sahara, Regional Programs",2006,2376440
African Capacity Building Foundation (ACBF),Angola,2008,1504958
African Capacity Building Foundation (ACBF),Benin,2007,1650301
African Capacity Building Foundation (ACBF),Botswana,2006,2019974
African Capacity Building Foundation (ACBF),Burkina Faso,2005,2065134
African Capacity Building Foundation (ACBF),Burkina Faso,2006,2376440
African Capacity Building Foundation (ACBF),Burkina Faso,2008,522555
African Capacity Building Foundation (ACBF),Burundi,2006,3658630
African Capacity Building Foundation (ACBF),Burundi,2008,4702995
African Capacity Building Foundation (ACBF),Cameroon,2001,2779851
African Capacity Building Foundation (ACBF),Cameroon,2003,2085653
African Capacity Building Foundation (ACBF),Cameroon,2004,4996491
African Capacity Building Foundation (ACBF),Cameroon,2008,1463154
African Capacity Building Foundation (ACBF),Cape Verde,2005,1579219
African Capacity Building Foundation (ACBF),Central African Republic,2006,1663508
African Capacity Building Foundation (ACBF),Chad,2003,1280632
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2001,2599794
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2003,2036541
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2004,2248421
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2006,2376440
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2007,2750501
African Capacity Building Foundation (ACBF),"Congo, Republic of",2003,2075410
African Capacity Building Foundation (ACBF),"Congo, Republic of",2004,1873684
African Capacity Building Foundation (ACBF),"Congo, Republic of",2006,2376440
African Capacity Building Foundation (ACBF),Cote d`Ivoire,2000,2735819
African Capacity Building Foundation (ACBF),Cote d`Ivoire,2006,2019974
African Capacity Building Foundation (ACBF),Djibouti,2003,1366253
African Capacity Building Foundation (ACBF),Djibouti,2005,819980
African Capacity Building Foundation (ACBF),Djibouti,2007,770140
African Capacity Building Foundation (ACBF),Eritrea,2005,1093306
African Capacity Building Foundation (ACBF),Ethiopia,2001,2440107
African Capacity Building Foundation (ACBF),Ethiopia,2005,971828
African Capacity Building Foundation (ACBF),Ethiopia,2008,1463154
African Capacity Building Foundation (ACBF),Gabon,2000,2219304
African Capacity Building Foundation (ACBF),Gabon,2003,1786048
African Capacity Building Foundation (ACBF),Gabon,2006,3861715
African Capacity Building Foundation (ACBF),Gambia,2008,1045110
African Capacity Building Foundation (ACBF),Ghana,2003,2051462
African Capacity Building Foundation (ACBF),Ghana,2007,1650301
African Capacity Building Foundation (ACBF),Ghana,2008,2299242
African Capacity Building Foundation (ACBF),Guinea,1999,2262236
African Capacity Building Foundation (ACBF),Guinea-Bissau,2000,2027688
African Capacity Building Foundation (ACBF),Guinea-Bissau,2005,1214784
African Capacity Building Foundation (ACBF),Kenya,2000,2339640
African Capacity Building Foundation (ACBF),Kenya,2001,1382727
African Capacity Building Foundation (ACBF),Kenya,2003,2324990
African Capacity Building Foundation (ACBF),Kenya,2005,2912020
African Capacity Building Foundation (ACBF),Kenya,2006,4752880
African Capacity Building Foundation (ACBF),Kenya,2008,1463154
African Capacity Building Foundation (ACBF),Lesotho,2007,1320241
African Capacity Building Foundation (ACBF),Madagascar,1999,2595946
African Capacity Building Foundation (ACBF),Madagascar,2008,2090220
African Capacity Building Foundation (ACBF),Malawi,2005,1457741
African Capacity Building Foundation (ACBF),Malawi,2007,1980361
African Capacity Building Foundation (ACBF),Mali,2004,4371929
African Capacity Building Foundation (ACBF),Mali,2005,2429569
African Capacity Building Foundation (ACBF),Mali,2006,1616306
African Capacity Building Foundation (ACBF),Mali,2008,1567665
African Capacity Building Foundation (ACBF),Mauritania,2000,1871712
African Capacity Building Foundation (ACBF),Mauritania,2006,1722919
African Capacity Building Foundation (ACBF),Mozambique,2006,1299158
African Capacity Building Foundation (ACBF),Mozambique,2007,2200401
