debtor,debtor_code,creditor,creditor_code,year,debt_stock,debtor_iso3
Algeria,DZA,United States,302.0,1990,287020000.0,DZA
Algeria,DZA,Japan,701.0,1990,893430061.9,DZA
Algeria,DZA,China,730.0,1990,42873988.1,DZA
Algeria,DZA,France,4.0,1990,119989187.2,DZA
Algeria,DZA,"Germany, Fed. Rep. of",5.0,1990,625750198.2,DZA
Algeria,DZA,Canada,301.0,1990,712483207.3,DZA
Algeria,DZA,Russian Federation,87.0,1990,272173830.7,DZA
Angola,AGO,United Kingdom,12.0,1990,128396504.3,AGO
Angola,AGO,United States,302.0,1990,59311000.0,AGO
Angola,AGO,China,730.0,1990,23597000.0,AGO
Angola,AGO,France,4.0,1990,35009008.3,AGO
Angola,AGO,"Germany, Fed. Rep. of",5.0,1990,36691000.0,AGO
Angola,AGO,Canada,301.0,1990,7695000.0,AGO
Argentina,ARG,United Kingdom,12.0,1990,91992055.4,ARG
Argentina,ARG,United States,302.0,1990,353128000.0,ARG
Argentina,ARG,Japan,701.0,1990,1354224075.4,ARG
Argentina,ARG,France,4.0,1990,222401219.8,ARG
Argentina,ARG,"Germany, Fed. Rep. of",5.0,1990,435667216.9,ARG
Argentina,ARG,Canada,301.0,1990,44408567.1,ARG
Bangladesh,BGD,United States,302.0,1990,1396613000.0,BGD
Bangladesh,BGD,Japan,701.0,1990,2786212806.1,BGD
Bangladesh,BGD,China,730.0,1990,35133940.9,BGD
Bangladesh,BGD,France,4.0,1990,139359876.9,BGD
Bangladesh,BGD,"Germany, Fed. Rep. of",5.0,1990,651664.0,BGD
Bangladesh,BGD,"Korea, Republic of",742.0,1990,2745000.0,BGD
Bangladesh,BGD,Russian Federation,87.0,1990,26928590.0,BGD
Belize,BLZ,United Kingdom,12.0,1990,31819711.6,BLZ
Belize,BLZ,United States,302.0,1990,26374000.0,BLZ
Belize,BLZ,China,730.0,1990,2209585.1,BLZ
Belize,BLZ,Canada,301.0,1990,0.0,BLZ
Benin,BEN,United Kingdom,12.0,1990,6987071.9,BEN
Benin,BEN,United States,302.0,1990,9835000.0,BEN
Benin,BEN,China,730.0,1990,40997289.5,BEN
Benin,BEN,France,4.0,1990,173785199.5,BEN
Benin,BEN,"Germany, Fed. Rep. of",5.0,1990,4963089.4,BEN
Benin,BEN,Canada,301.0,1990,725000.0,BEN
Bolivia,BOL,United Kingdom,12.0,1990,73238951.6,BOL
Bolivia,BOL,United States,302.0,1990,423438000.0,BOL
Bolivia,BOL,Japan,701.0,1990,359020870.1,BOL
Bolivia,BOL,China,730.0,1990,4355334.8,BOL
Bolivia,BOL,France,4.0,1990,78540145.6,BOL
Bolivia,BOL,"Germany, Fed. Rep. of",5.0,1990,255356074.6,BOL
Bolivia,BOL,Canada,301.0,1990,1132465.8,BOL
Botswana,BWA,United Kingdom,12.0,1990,42614583.5,BWA
Botswana,BWA,United States,302.0,1990,26949000.0,BWA
Botswana,BWA,Japan,701.0,1990,24032738.2,BWA
Botswana,BWA,China,730.0,1990,2245264.7,BWA
Botswana,BWA,France,4.0,1990,884968.8,BWA
Botswana,BWA,"Germany, Fed. Rep. of",5.0,1990,1432396.2,BWA
Botswana,BWA,Canada,301.0,1990,8631388.6,BWA
Botswana,BWA,Australia,801.0,1990,0.0,BWA
Brazil,BRA,United Kingdom,12.0,1990,1283226076.4,BRA
Brazil,BRA,United States,302.0,1990,2870270269.0,BRA
Brazil,BRA,Japan,701.0,1990,3472691831.5,BRA
Brazil,BRA,France,4.0,1990,3088803719.0,BRA
Brazil,BRA,"Germany, Fed. Rep. of",5.0,1990,3893945687.9,BRA
Brazil,BRA,Canada,301.0,1990,682130229.0,BRA
