term,coef,std_err,z,p_value,significance
const,-14.518866213175043,2.6249262814347913,-5.531151985433661,3.1813452222358226e-08,***
arms_tiv_total_log_lag1,-0.1215189864210032,0.08896061506767919,-1.36598635619318,0.17194324584171883,
oda_total_log_lag1,0.22392147278255076,0.121930876935415,1.8364624155139857,0.06628929582168173,.
econ_neocol_score_total_lag1,0.23069151438531602,0.09123966856824493,2.528412454860735,0.011457965774892928,*
colonial_tie_flag,-0.08266818505144506,0.6295564386601235,-0.13131179347063252,0.8955286627333509,
gdp_per_capita_log,0.19302366031053358,0.08804281296027848,2.192384066574729,0.02835178614907776,*
population_log,0.5302844921020384,0.08175681638578924,6.486119635575867,8.807523961747648e-11,***
armed_conflict,-0.5745240506945287,0.46595785502906556,-1.2329957409102825,0.21757735319938842,
conflict_intensity,1.610308359901815,0.33157118275584974,4.856599257262822,1.1941893320534914e-06,***
arms_tiv_in_strength_lag1,-0.013675312169499155,0.016094792986853453,-0.8496730700835619,0.3955068746507935,
bilateral_oda_in_strength_lag1,-0.01026557231513245,0.011641746503009595,-0.8817897136377794,0.37789053526699656,
econ_neocol_score_in_strength_lag1,-0.031056603431396716,0.010990833909809731,-2.825682171730166,0.004718005154741232,**
colonial_tie_in_strength_lag1,-0.4017868016417542,0.33086058809185864,-1.214368879530021,0.22460689368420905,
arms_tiv_pagerank_lag1,33.634562968837564,26.452099438117415,1.2715271635630643,0.20354117016410056,
bilateral_oda_pagerank_lag1,41.501297253573725,102.18141899237612,0.40615307227892566,0.6846301322948523,
econ_neocol_score_pagerank_lag1,57.369437270715956,41.399290363245626,1.3857589530483512,0.16582052000755598,
colonial_tie_pagerank_lag1,82.77550415871438,331.07923718075773,0.250017200908077,0.8025740465772873,
arms_x_colonial,0.10204204116541449,0.08441301091562839,1.2088425712880504,0.22672333283617618,
oda_x_colonial,0.19565533310349603,0.09802084886381766,1.9960583423973803,0.04592757269128582,*
econ_x_colonial,-0.05798777137683403,0.0793697975085224,-0.7306024860477632,0.46502199309733216,
