variable,mean,std,min,max,median,zero_share,missing_pct
year,2007.754,9.545,1992.0,2024.0,2008.0,0.0,0.0
arms_tiv_total,131.946,376.328,0.0,5271.93,3.0,43.237,0.0
oda_total,292.837,793.252,0.0,22007.84,72.385,21.532,0.0
econ_neocol_score_total,22.311,24.508,0.0,101.368,9.838,38.503,0.0
colonial_tie_flag,0.568,0.495,0.0,1.0,1.0,43.221,0.0
journalist_killings,0.369,2.332,0.0,82.0,0.0,88.66,0.0
gdp_per_capita,9821.972,15570.285,30.254,137781.682,3445.986,0.0,6.354
gdp_per_capita_log,8.138,1.531,3.41,11.833,8.145,0.0,6.354
population,36363618.12,135486968.454,9038.0,1450935791.0,7749534.5,0.0,4.215
population_log,15.571,2.163,9.109,21.095,15.863,0.0,4.215
armed_conflict,0.165,0.371,0.0,1.0,0.0,80.434,3.696
conflict_intensity,0.207,0.5,0.0,2.0,0.0,80.434,3.696
