Source,Target,Year,Weight,Type,Layer
ARE,LBN,2007,3.06,Directed,Arms
AUS,CAN,2007,34.0,Directed,Arms
AUS,IND,2007,16.6,Directed,Arms
AUS,NLD,2007,1.6,Directed,Arms
AUT,ARE,2007,2.4,Directed,Arms
AUT,ARG,2007,2.8,Directed,Arms
AUT,FRA,2007,54.0,Directed,Arms
AUT,PRT,2007,2.4,Directed,Arms
AUT,SVN,2007,2.4,Directed,Arms
AUT,USA,2007,3.0,Directed,Arms
BEL,BEN,2007,2.76,Directed,Arms
BEL,JOR,2007,10.3,Directed,Arms
BEL,TCD,2007,18.48,Directed,Arms
BGR,GEO,2007,1.5,Directed,Arms
BGR,MLI,2007,7.8,Directed,Arms
BLR,ARM,2007,1.4,Directed,Arms
BLR,ERI,2007,3.96,Directed,Arms
BLR,SDN,2007,0.36,Directed,Arms
BRA,AGO,2007,6.25,Directed,Arms
BRA,ARG,2007,1.48,Directed,Arms
BRA,CHL,2007,1.3,Directed,Arms
BRA,COL,2007,45.0,Directed,Arms
CAN,BRA,2007,13.08,Directed,Arms
CAN,COL,2007,5.0,Directed,Arms
CAN,FIN,2007,3.0,Directed,Arms
CAN,GBR,2007,125.0,Directed,Arms
CAN,IDN,2007,0.7,Directed,Arms
CAN,IRQ,2007,0.66,Directed,Arms
CAN,ISR,2007,1.0,Directed,Arms
CAN,JAM,2007,0.15,Directed,Arms
CAN,KOR,2007,1.75,Directed,Arms
CAN,MYS,2007,3.5,Directed,Arms
CAN,POL,2007,3.0,Directed,Arms
CAN,SAU,2007,12.69,Directed,Arms
CAN,USA,2007,183.1,Directed,Arms
CHE,BRA,2007,1.5,Directed,Arms
CHE,CHN,2007,65.0,Directed,Arms
CHE,DNK,2007,8.55,Directed,Arms
CHE,ESP,2007,48.0,Directed,Arms
CHE,IRL,2007,10.2,Directed,Arms
CHE,MYS,2007,12.5,Directed,Arms
CHE,PAK,2007,39.0,Directed,Arms
CHE,USA,2007,138.4,Directed,Arms
CHN,BGD,2007,57.02,Directed,Arms
CHN,COG,2007,0.13,Directed,Arms
CHN,EGY,2007,35.0,Directed,Arms
CHN,GHA,2007,14.0,Directed,Arms
CHN,IDN,2007,3.0,Directed,Arms
CHN,IRN,2007,41.25,Directed,Arms
CHN,KEN,2007,11.2,Directed,Arms
CHN,KHM,2007,56.0,Directed,Arms
CHN,LKA,2007,48.5,Directed,Arms
CHN,MMR,2007,3.9,Directed,Arms
CHN,PAK,2007,141.6,Directed,Arms
CHN,RWA,2007,7.5,Directed,Arms
CHN,SDN,2007,14.0,Directed,Arms
CHN,TCD,2007,4.9,Directed,Arms
CHN,TUR,2007,35.0,Directed,Arms
CHN,TZA,2007,0.26,Directed,Arms
CHN,VEN,2007,27.0,Directed,Arms
CHN,ZMB,2007,5.0,Directed,Arms
