Source,Target,Year,Weight,Type,Layer
AUS,IND,2010,16.45,Directed,ODA
AUS,TTO,2010,0.48,Directed,ODA
AUT,BOL,2010,0.3,Directed,ODA
AUT,THA,2010,0.87,Directed,ODA
AUT,UGA,2010,13.07,Directed,ODA
AUT,VEN,2010,0.22,Directed,ODA
BEL,LBN,2010,3.99,Directed,ODA
BEL,TCD,2010,7.34,Directed,ODA
CAN,BRA,2010,7.11,Directed,ODA
CAN,CHL,2010,2.68,Directed,ODA
CAN,COL,2010,22.63,Directed,ODA
CAN,DOM,2010,1.34,Directed,ODA
CAN,ECU,2010,1.43,Directed,ODA
CAN,IRQ,2010,6.32,Directed,ODA
CAN,MEX,2010,1.4,Directed,ODA
CAN,NGA,2010,12.61,Directed,ODA
CHE,BRA,2010,4.52,Directed,ODA
CHE,CHN,2010,8.08,Directed,ODA
CZE,IND,2010,0.18,Directed,ODA
CZE,YEM,2010,1.0,Directed,ODA
DEU,BRA,2010,247.45,Directed,ODA
DEU,CHL,2010,71.84,Directed,ODA
DEU,CHN,2010,321.5,Directed,ODA
DEU,EGY,2010,104.49,Directed,ODA
DEU,IND,2010,396.93,Directed,ODA
DEU,MYS,2010,11.22,Directed,ODA
DEU,PAK,2010,142.1,Directed,ODA
DEU,VEN,2010,6.99,Directed,ODA
ESP,ARG,2010,22.96,Directed,ODA
ESP,CHL,2010,11.26,Directed,ODA
ESP,COL,2010,56.15,Directed,ODA
ESP,MEX,2010,5.26,Directed,ODA
ESP,URY,2010,8.41,Directed,ODA
ESP,VEN,2010,8.23,Directed,ODA
FIN,HRV,2010,0.37,Directed,ODA
FRA,BRA,2010,46.58,Directed,ODA
FRA,CHL,2010,10.13,Directed,ODA
FRA,CHN,2010,316.69,Directed,ODA
FRA,COL,2010,160.26,Directed,ODA
FRA,DZA,2010,69.78,Directed,ODA
FRA,IDN,2010,262.49,Directed,ODA
FRA,IND,2010,2.83,Directed,ODA
FRA,IRQ,2010,9.58,Directed,ODA
FRA,LBY,2010,3.8,Directed,ODA
FRA,MAR,2010,254.43,Directed,ODA
FRA,MEX,2010,205.82,Directed,ODA
FRA,MRT,2010,32.23,Directed,ODA
FRA,MYS,2010,1.02,Directed,ODA
FRA,OMN,2010,0.82,Directed,ODA
FRA,PAK,2010,14.44,Directed,ODA
FRA,TGO,2010,168.02,Directed,ODA
GBR,AFG,2010,234.83,Directed,ODA
GBR,BGD,2010,228.32,Directed,ODA
GBR,CHN,2010,86.72,Directed,ODA
GBR,DZA,2010,2.2,Directed,ODA
GBR,IND,2010,650.34,Directed,ODA
GBR,JOR,2010,2.64,Directed,ODA
GBR,TUR,2010,3.75,Directed,ODA
IRL,CHL,2010,0.42,Directed,ODA
ISR,AZE,2010,1.39,Directed,ODA
ISR,BRA,2010,1.27,Directed,ODA
ISR,CHL,2010,0.34,Directed,ODA
ISR,COL,2010,1.39,Directed,ODA
ISR,DOM,2010,0.01,Directed,ODA
ISR,IND,2010,0.59,Directed,ODA
ISR,KAZ,2010,1.07,Directed,ODA
ISR,MMR,2010,0.09,Directed,ODA
ISR,TUR,2010,0.8,Directed,ODA
ITA,AFG,2010,54.34,Directed,ODA
ITA,BRA,2010,9.2,Directed,ODA
ITA,CHL,2010,1.82,Directed,ODA
ITA,DZA,2010,4.87,Directed,ODA
ITA,IND,2010,11.49,Directed,ODA
ITA,LBY,2010,0.53,Directed,ODA
ITA,MAR,2010,9.6,Directed,ODA
ITA,NGA,2010,2.08,Directed,ODA
ITA,PAK,2010,12.16,Directed,ODA
ITA,VEN,2010,0.37,Directed,ODA
KOR,PER,2010,6.4,Directed,ODA
KOR,TUR,2010,10.26,Directed,ODA
NLD,CHL,2010,0.28,Directed,ODA
NLD,IND,2010,2.48,Directed,ODA
NLD,PER,2010,0.32,Directed,ODA
NLD,TUR,2010,0.32,Directed,ODA
NLD,VEN,2010,0.13,Directed,ODA
ROU,VNM,2010,0.1,Directed,ODA
SWE,ARG,2010,0.12,Directed,ODA
SWE,HRV,2010,0.08,Directed,ODA
SWE,PAK,2010,42.51,Directed,ODA
SWE,THA,2010,7.27,Directed,ODA
TUR,AZE,2010,22.77,Directed,ODA
TUR,MYS,2010,0.06,Directed,ODA
TUR,PHL,2010,0.1,Directed,ODA
USA,AFG,2010,2938.84,Directed,ODA
USA,ARG,2010,3.77,Directed,ODA
USA,AZE,2010,36.96,Directed,ODA
USA,BRA,2010,20.71,Directed,ODA
USA,BWA,2010,74.3,Directed,ODA
USA,CHL,2010,13.11,Directed,ODA
USA,CMR,2010,18.38,Directed,ODA
USA,COG,2010,25.02,Directed,ODA
USA,COL,2010,197.6,Directed,ODA
USA,DZA,2010,8.62,Directed,ODA
USA,ECU,2010,23.14,Directed,ODA
USA,EGY,2010,49.39,Directed,ODA
USA,GAB,2010,1.45,Directed,ODA
USA,IND,2010,62.8,Directed,ODA
USA,IRQ,2010,1609.61,Directed,ODA
USA,JOR,2010,368.4,Directed,ODA
USA,LBN,2010,83.8,Directed,ODA
USA,MAR,2010,45.17,Directed,ODA
USA,MEX,2010,205.03,Directed,ODA
USA,MYS,2010,18.54,Directed,ODA
USA,OMN,2010,3.02,Directed,ODA
USA,PAK,2010,1200.45,Directed,ODA
USA,PER,2010,87.03,Directed,ODA
USA,SLV,2010,148.16,Directed,ODA
USA,THA,2010,46.45,Directed,ODA
USA,TUR,2010,6.29,Directed,ODA
AUS,AFG,2010,99.18,Directed,ODA
AUS,ALB,2010,0.01,Directed,ODA
AUS,ARG,2010,0.18,Directed,ODA
AUS,BDI,2010,0.45,Directed,ODA
AUS,BEN,2010,0.38,Directed,ODA
AUS,BFA,2010,0.42,Directed,ODA
AUS,BGD,2010,50.27,Directed,ODA
AUS,BIH,2010,0.01,Directed,ODA
AUS,BLZ,2010,0.71,Directed,ODA
AUS,BOL,2010,0.03,Directed,ODA
AUS,BRA,2010,0.11,Directed,ODA
AUS,BRB,2010,0.24,Directed,ODA
AUS,BTN,2010,7.55,Directed,ODA
AUS,BWA,2010,0.68,Directed,ODA
AUS,CAF,2010,0.03,Directed,ODA
AUS,CHL,2010,6.06,Directed,ODA
AUS,CHN,2010,32.27,Directed,ODA
AUS,CIV,2010,0.03,Directed,ODA
AUS,CMR,2010,0.32,Directed,ODA
AUS,COD,2010,8.21,Directed,ODA
AUS,COK,2010,3.57,Directed,ODA
AUS,COL,2010,0.09,Directed,ODA
AUS,CPV,2010,0.2,Directed,ODA
AUS,DMA,2010,0.24,Directed,ODA
AUS,ECU,2010,0.01,Directed,ODA
AUS,EGY,2010,4.22,Directed,ODA
AUS,ETH,2010,2.33,Directed,ODA
AUS,FJI,2010,33.72,Directed,ODA
AUS,FSM,2010,43.14,Directed,ODA
AUS,GHA,2010,0.52,Directed,ODA
AUS,GNB,2010,0.16,Directed,ODA
AUS,GRD,2010,0.43,Directed,ODA
AUS,GTM,2010,0.46,Directed,ODA
AUS,GUY,2010,0.16,Directed,ODA
AUS,HND,2010,0.03,Directed,ODA
AUS,HRV,2010,0.01,Directed,ODA
AUS,HTI,2010,18.4,Directed,ODA
AUS,IDN,2010,356.2,Directed,ODA
AUS,IRN,2010,0.28,Directed,ODA
AUS,IRQ,2010,52.22,Directed,ODA
AUS,JAM,2010,0.37,Directed,ODA
AUS,JOR,2010,1.14,Directed,ODA
AUS,KEN,2010,7.3,Directed,ODA
AUS,KGZ,2010,0.92,Directed,ODA
AUS,KHM,2010,53.91,Directed,ODA
AUS,KIR,2010,14.53,Directed,ODA
AUS,KNA,2010,0.26,Directed,ODA
AUS,LAO,2010,32.68,Directed,ODA
AUS,LBN,2010,1.6,Directed,ODA
AUS,LBR,2010,0.26,Directed,ODA
AUS,LCA,2010,0.67,Directed,ODA
AUS,LKA,2010,61.22,Directed,ODA
AUS,LSO,2010,0.63,Directed,ODA
AUS,MDG,2010,0.07,Directed,ODA
AUS,MDV,2010,4.95,Directed,ODA
AUS,MEX,2010,0.42,Directed,ODA
AUS,MHL,2010,1.66,Directed,ODA
AUS,MLI,2010,0.01,Directed,ODA
AUS,MMR,2010,44.4,Directed,ODA
AUS,MNG,2010,6.64,Directed,ODA
AUS,MOZ,2010,20.88,Directed,ODA
AUS,MUS,2010,0.13,Directed,ODA
AUS,MWI,2010,3.94,Directed,ODA
AUS,MYS,2010,2.26,Directed,ODA
AUS,NAM,2010,0.09,Directed,ODA
AUS,NER,2010,0.38,Directed,ODA
AUS,NGA,2010,0.4,Directed,ODA
AUS,NIC,2010,0.96,Directed,ODA
AUS,NIU,2010,1.45,Directed,ODA
AUS,NPL,2010,23.56,Directed,ODA
AUS,NRU,2010,23.33,Directed,ODA
AUS,PAK,2010,113.49,Directed,ODA
AUS,PER,2010,1.9,Directed,ODA
AUS,PHL,2010,106.17,Directed,ODA
AUS,PLW,2010,0.74,Directed,ODA
AUS,PNG,2010,386.94,Directed,ODA
AUS,PRK,2010,0.23,Directed,ODA
AUS,PSE,2010,38.1,Directed,ODA
AUS,RWA,2010,0.46,Directed,ODA
AUS,SDN,2010,10.17,Directed,ODA
AUS,SEN,2010,0.43,Directed,ODA
AUS,SLB,2010,254.0,Directed,ODA
AUS,SLE,2010,0.32,Directed,ODA
AUS,SOM,2010,5.13,Directed,ODA
AUS,SUR,2010,0.11,Directed,ODA
AUS,SWZ,2010,0.35,Directed,ODA
AUS,SYR,2010,0.1,Directed,ODA
AUS,TCD,2010,0.22,Directed,ODA
AUS,TGO,2010,0.09,Directed,ODA
AUS,THA,2010,8.1,Directed,ODA
AUS,TJK,2010,0.05,Directed,ODA
AUS,TKL,2010,1.38,Directed,ODA
AUS,TLS,2010,124.01,Directed,ODA
AUS,TON,2010,20.91,Directed,ODA
AUS,TUR,2010,0.11,Directed,ODA
AUS,TUV,2010,6.39,Directed,ODA
AUS,TZA,2010,5.97,Directed,ODA
AUS,UGA,2010,2.52,Directed,ODA
AUS,VCT,2010,0.49,Directed,ODA
AUS,VNM,2010,119.83,Directed,ODA
AUS,VUT,2010,55.96,Directed,ODA
AUS,WSM,2010,42.76,Directed,ODA
AUS,YEM,2010,1.85,Directed,ODA
AUS,ZMB,2010,1.95,Directed,ODA
AUS,ZWE,2010,44.77,Directed,ODA
AUT,AFG,2010,2.41,Directed,ODA
AUT,AGO,2010,0.02,Directed,ODA
AUT,ALB,2010,8.0,Directed,ODA
AUT,ARG,2010,0.35,Directed,ODA
AUT,ARM,2010,1.45,Directed,ODA
AUT,AZE,2010,0.58,Directed,ODA
AUT,BDI,2010,0.44,Directed,ODA
AUT,BEN,2010,0.09,Directed,ODA
AUT,BFA,2010,4.92,Directed,ODA
AUT,BGD,2010,0.53,Directed,ODA
AUT,BIH,2010,31.38,Directed,ODA
AUT,BLR,2010,5.91,Directed,ODA
AUT,BRA,2010,1.96,Directed,ODA
AUT,BTN,2010,3.31,Directed,ODA
AUT,CAF,2010,5.22,Directed,ODA
AUT,CHL,2010,0.43,Directed,ODA
AUT,CHN,2010,17.18,Directed,ODA
AUT,CIV,2010,4.47,Directed,ODA
AUT,CMR,2010,0.34,Directed,ODA
AUT,COD,2010,129.64,Directed,ODA
AUT,COG,2010,0.05,Directed,ODA
AUT,COL,2010,0.85,Directed,ODA
AUT,CPV,2010,4.36,Directed,ODA
AUT,CRI,2010,0.25,Directed,ODA
AUT,CUB,2010,0.07,Directed,ODA
AUT,DOM,2010,0.02,Directed,ODA
AUT,DZA,2010,0.12,Directed,ODA
AUT,ECU,2010,0.23,Directed,ODA
AUT,EGY,2010,7.36,Directed,ODA
AUT,ERI,2010,0.02,Directed,ODA
AUT,ETH,2010,9.71,Directed,ODA
AUT,GEO,2010,1.52,Directed,ODA
AUT,GHA,2010,2.27,Directed,ODA
AUT,GIN,2010,0.15,Directed,ODA
AUT,GNQ,2010,0.01,Directed,ODA
AUT,GRD,2010,0.03,Directed,ODA
AUT,GTM,2010,6.01,Directed,ODA
AUT,HND,2010,0.03,Directed,ODA
AUT,HRV,2010,5.74,Directed,ODA
AUT,HTI,2010,8.93,Directed,ODA
AUT,IDN,2010,0.85,Directed,ODA
AUT,IND,2010,2.15,Directed,ODA
AUT,IRN,2010,5.07,Directed,ODA
AUT,IRQ,2010,0.48,Directed,ODA
AUT,JAM,2010,0.1,Directed,ODA
AUT,JOR,2010,0.09,Directed,ODA
AUT,KAZ,2010,0.31,Directed,ODA
AUT,KEN,2010,1.52,Directed,ODA
AUT,KGZ,2010,1.11,Directed,ODA
AUT,KHM,2010,0.04,Directed,ODA
AUT,KNA,2010,0.03,Directed,ODA
