Source,Target,Year,Weight,Type,Layer
ABW,ISR,1996,17.8,Directed,Arms
AGO,CIV,2002,1.72,Directed,Arms
ALB,BFA,2011,1.2,Directed,Arms
ARE,BFA,2023,3.97,Directed,Arms
ARE,BGR,2021,0.72,Directed,Arms
ARE,BGR,2022,1.44,Directed,Arms
ARE,BHR,2010,14.8,Directed,Arms
ARE,BIH,1996,6.48,Directed,Arms
ARE,BIH,1997,37.400000000000006,Directed,Arms
ARE,CAF,2021,1.6,Directed,Arms
ARE,CAN,2023,46.0,Directed,Arms
ARE,CAN,2024,46.0,Directed,Arms
ARE,CIV,2022,0.6,Directed,Arms
ARE,CMR,2018,0.28,Directed,Arms
ARE,CMR,2020,0.28,Directed,Arms
ARE,COD,2023,5.4,Directed,Arms
ARE,COG,2014,5.04,Directed,Arms
ARE,DZA,2014,5.5,Directed,Arms
ARE,DZA,2015,5.5,Directed,Arms
ARE,DZA,2016,11.0,Directed,Arms
ARE,DZA,2017,11.0,Directed,Arms
ARE,DZA,2018,37.5,Directed,Arms
ARE,DZA,2019,39.75,Directed,Arms
ARE,DZA,2022,2.5,Directed,Arms
ARE,EGY,2014,35.0,Directed,Arms
ARE,EGY,2015,48.2,Directed,Arms
ARE,EGY,2016,48.2,Directed,Arms
ARE,EGY,2017,35.0,Directed,Arms
ARE,EGY,2018,35.0,Directed,Arms
ARE,EGY,2019,35.0,Directed,Arms
ARE,EGY,2020,35.0,Directed,Arms
ARE,EGY,2021,36.0,Directed,Arms
ARE,EGY,2022,1.0,Directed,Arms
ARE,EGY,2023,1.0,Directed,Arms
ARE,EGY,2024,1.0,Directed,Arms
ARE,ETH,2024,5.4,Directed,Arms
ARE,GIN,2024,6.3999999999999995,Directed,Arms
ARE,IDN,1995,26.44,Directed,Arms
ARE,IRQ,2004,2.82,Directed,Arms
ARE,IRQ,2005,2.04,Directed,Arms
ARE,JOR,2005,9.0,Directed,Arms
ARE,JOR,2013,33.0,Directed,Arms
ARE,JOR,2015,50.12,Directed,Arms
ARE,JOR,2017,1.26,Directed,Arms
ARE,JOR,2019,10.0,Directed,Arms
ARE,JOR,2020,126.0,Directed,Arms
ARE,KEN,2018,2.88,Directed,Arms
ARE,KEN,2022,1.08,Directed,Arms
ARE,KWT,2017,22.4,Directed,Arms
