Source,Target,Year,Weight,Type,Layer
ARE,BFA,2023,1.279386,Directed,ODA
ARE,BIH,1996,15.23,Directed,ODA
ARE,BIH,1997,0.6,Directed,ODA
ARE,CAF,2021,1.5,Directed,ODA
ARE,CIV,2022,0.010001,Directed,ODA
ARE,CMR,2018,0.26801,Directed,ODA
ARE,CMR,2020,0.246862,Directed,ODA
ARE,COD,2023,0.12941,Directed,ODA
ARE,COG,2014,0.36493,Directed,ODA
ARE,DZA,2014,4.55599,Directed,ODA
ARE,EGY,2014,3163.32217,Directed,ODA
ARE,EGY,2015,2452.160681,Directed,ODA
ARE,EGY,2016,2060.45671,Directed,ODA
ARE,EGY,2017,141.206,Directed,ODA
ARE,EGY,2018,42.34623,Directed,ODA
ARE,EGY,2019,245.806878,Directed,ODA
ARE,EGY,2020,27.364042,Directed,ODA
ARE,EGY,2022,15.737306,Directed,ODA
ARE,EGY,2023,5.956666,Directed,ODA
ARE,ETH,2024,6.692159,Directed,ODA
ARE,GIN,2024,0.740255,Directed,ODA
ARE,IRQ,2004,3.41,Directed,ODA
ARE,IRQ,2005,11.03,Directed,ODA
ARE,JOR,2005,65.01,Directed,ODA
ARE,JOR,2013,128.947066,Directed,ODA
ARE,JOR,2015,208.768846,Directed,ODA
ARE,JOR,2017,460.832,Directed,ODA
ARE,JOR,2019,156.18314,Directed,ODA
ARE,JOR,2020,79.678758,Directed,ODA
ARE,KEN,2018,4.89167,Directed,ODA
ARE,KEN,2022,0.148375,Directed,ODA
ARE,LBN,2007,352.61,Directed,ODA
ARE,LBR,2020,0.706726,Directed,ODA
ARE,LBY,2012,0.04,Directed,ODA
ARE,LBY,2013,0.005445,Directed,ODA
ARE,LBY,2016,43.74066,Directed,ODA
ARE,MDG,2020,3.34408,Directed,ODA
ARE,MEX,2023,0.033001,Directed,ODA
ARE,MEX,2024,0.096247,Directed,ODA
ARE,MLI,2018,0.79534,Directed,ODA
ARE,MLI,2020,10.515006,Directed,ODA
ARE,MOZ,2024,0.505296,Directed,ODA
ARE,MYS,2017,0.013,Directed,ODA
ARE,NER,2021,1.023926,Directed,ODA
ARE,NGA,2014,0.1437,Directed,ODA
ARE,NGA,2017,0.269,Directed,ODA
ARE,NGA,2020,1.632947,Directed,ODA
ARE,OMN,2006,56.69,Directed,ODA
ARE,PAK,2009,158.597,Directed,ODA
ARE,SDN,2013,5.217853,Directed,ODA
ARE,SDN,2022,89.514888,Directed,ODA
ARE,SOM,2015,19.321788,Directed,ODA
ARE,SSD,2013,0.274276,Directed,ODA
ARE,SSD,2014,0.99311,Directed,ODA
ARE,SSD,2021,2.359879,Directed,ODA
ARE,SSD,2022,27.252368,Directed,ODA
ARE,SYC,2011,5.85617,Directed,ODA
ARE,TCD,2021,2.631088,Directed,ODA
ARE,TCD,2023,258.315808,Directed,ODA
ARE,TCD,2024,687.415487,Directed,ODA
ARE,TKM,2016,8.33198,Directed,ODA
ARE,TKM,2021,3.54,Directed,ODA
ARE,TZA,2006,4.58,Directed,ODA
ARE,UKR,2015,0.004015,Directed,ODA
ARE,UKR,2022,6.589569,Directed,ODA
ARE,UKR,2023,13.750977,Directed,ODA
ARE,UKR,2024,12.834055,Directed,ODA
ARE,YEM,2015,889.585661,Directed,ODA
ARE,YEM,2016,994.14997,Directed,ODA
ARE,YEM,2017,818.142,Directed,ODA
ARE,YEM,2018,2622.71258,Directed,ODA
AUS,FJI,1994,15.77,Directed,ODA
AUS,FJI,1995,13.97,Directed,ODA
AUS,FJI,2017,46.886804,Directed,ODA
AUS,FJI,2020,48.111132,Directed,ODA
AUS,FJI,2024,111.892273,Directed,ODA
AUS,GHA,2006,0.19,Directed,ODA
AUS,IDN,1997,78.55,Directed,ODA
AUS,IDN,2003,86.5,Directed,ODA
AUS,IDN,2013,549.33,Directed,ODA
AUS,IDN,2014,448.0,Directed,ODA
AUS,IDN,2015,372.961237,Directed,ODA
AUS,IDN,2016,252.101122,Directed,ODA
AUS,IDN,2017,207.52929,Directed,ODA
AUS,IDN,2023,218.018631,Directed,ODA
AUS,IND,2002,7.55,Directed,ODA
AUS,IND,2006,0.98,Directed,ODA
AUS,IND,2007,5.78,Directed,ODA
AUS,IND,2008,8.27,Directed,ODA
AUS,IND,2009,9.58,Directed,ODA
AUS,IND,2010,16.45,Directed,ODA
AUS,IND,2011,24.33,Directed,ODA
AUS,IRQ,2004,30.73,Directed,ODA
AUS,JAM,2015,0.320107,Directed,ODA
AUS,JAM,2016,0.218122,Directed,ODA
AUS,JAM,2021,0.022588,Directed,ODA
AUS,LKA,2014,50.9,Directed,ODA
AUS,LKA,2024,17.005309,Directed,ODA
AUS,LSO,2004,0.19,Directed,ODA
AUS,MNG,2022,5.596646,Directed,ODA
AUS,MYS,2001,0.63,Directed,ODA
AUS,PHL,2015,92.503809,Directed,ODA
AUS,PHL,2016,53.83119,Directed,ODA
AUS,PNG,2014,418.31,Directed,ODA
AUS,PNG,2018,418.60434,Directed,ODA
AUS,PNG,2021,586.232891,Directed,ODA
AUS,PNG,2023,423.233564,Directed,ODA
AUS,SLB,2019,119.610108,Directed,ODA
AUS,SLB,2021,137.637704,Directed,ODA
AUS,TON,2015,19.766466,Directed,ODA
AUS,TON,2019,18.997324,Directed,ODA
AUS,TON,2020,22.156341,Directed,ODA
AUS,TTO,2010,0.48,Directed,ODA
AUS,UKR,2022,46.029318,Directed,ODA
AUS,UKR,2023,6.93623,Directed,ODA
AUS,UKR,2024,19.90829,Directed,ODA
AUS,VUT,2021,89.778884,Directed,ODA
AUT,ARG,2007,0.14,Directed,ODA
AUT,ARG,2016,0.348285,Directed,ODA
AUT,ARG,2024,0.719818,Directed,ODA
AUT,BFA,2016,4.805589,Directed,ODA
AUT,BGD,2019,2.016724,Directed,ODA
AUT,BOL,2010,0.3,Directed,ODA
AUT,BRA,2001,1.91,Directed,ODA
AUT,EGY,2002,19.6,Directed,ODA
AUT,GAB,2004,0.01,Directed,ODA
AUT,GHA,2011,4.0,Directed,ODA
AUT,GHA,2012,3.959058,Directed,ODA
AUT,IDN,2017,0.915941,Directed,ODA
AUT,IDN,2024,7.10002,Directed,ODA
AUT,JAM,2018,0.01011,Directed,ODA
AUT,JOR,2011,0.15,Directed,ODA
AUT,JOR,2012,0.89255,Directed,ODA
AUT,LBY,2011,2.03,Directed,ODA
AUT,MAR,2023,1.305156,Directed,ODA
AUT,MAR,2024,4.025091,Directed,ODA
AUT,MMR,2018,1.728904,Directed,ODA
AUT,MMR,2019,0.47331,Directed,ODA
AUT,MMR,2020,0.059825,Directed,ODA
AUT,MMR,2021,0.067917,Directed,ODA
AUT,MNE,2015,0.929003,Directed,ODA
AUT,MYS,2018,0.289842,Directed,ODA
AUT,NER,2008,0.16,Directed,ODA
AUT,NGA,2017,0.902771,Directed,ODA
