Id,Label,case_study,journalist_killings_total,colonial_tie_flag,armed_conflict_pct,gdp_per_capita_log_mean,population_log_mean
AGO,AGO,,11,1,0.6363636363636364,7.421856768179436,16.89275566741276
ALB,ALB,,1,0,0.0,7.8531382232632945,14.872122057408774
ARE,ARE,,0,1,0.0,10.53687711500265,15.502122757922455
ARG,ARG,,4,1,0.0,9.05686055222645,17.5087102710672
AUS,AUS,,0,1,0.030303030303030304,10.53085002531324,16.88157427524661
AUT,AUT,,0,0,0.0,10.567165167861342,15.940999274282952
BEL,BEL,,0,0,0.0,10.50942052609516,16.194558428254734
BGD,BGD,,38,1,0.12121212121212122,6.621187440936718,18.801055538045095
BGR,BGR,,2,0,0.0,8.373573597945951,15.835044355714317
BHR,BHR,,3,1,0.0,9.84302620111547,13.779479761239442
BLR,BLR,,6,0,0.0,8.196597871272859,16.0824072421791
BOL,BOL,,3,1,0.0,7.461057368792806,16.095136756940338
BRA,BRA,,60,1,0.0,8.751670230257977,19.04641061111347
BRN,BRN,,0,1,0.0,10.241645417651716,12.783038256804979
BWA,BWA,,0,1,0.0,8.523357690352894,14.47014088185233
CAN,CAN,,2,1,0.0,10.478093537073988,17.325723890503813
CHE,CHE,,0,0,0.0,11.002101135189976,15.84351620980018
CHL,CHL,,1,1,0.0,9.08672841547223,16.637798152864075
CHN,CHN,,5,0,0.06060606060606061,7.9556709378778985,20.997199289065005
CIV,CIV,,6,0,0.12121212121212122,7.256576306341318,16.87178417346126
COG,COG,,3,1,0.18181818181818182,7.437536988591482,15.217238719408593
COL,COL,,97,1,0.9696969696969697,8.355248843613623,17.57998878575869
CYP,CYP,,1,1,0.0,9.926485763059214,13.844155841306685
CZE,CZE,,0,0,0.0,9.610757214211928,16.160655015388855
DEU,DEU,,0,0,0.0,10.533670595152671,18.223416337058364
DNK,DNK,,1,0,0.0,10.773747246957347,15.524560349055722
DOM,DOM,,6,1,0.0,8.383291669032914,16.0636293539216
DZA,DZA,,60,1,0.8484848484848485,8.081584063609107,17.381218644059825
EGY,EGY,,13,1,0.45454545454545453,7.496733133729014,18.266979856912148
ERI,ERI,,2,1,0.21212121212121213,5.923671985554152,14.802057521040595
ESP,ESP,,1,0,0.0,10.067887870238224,17.60130290586667
EST,EST,,0,0,0.0,9.338065805774045,14.126502078212884
ETH,ETH,,5,0,0.9090909090909091,5.712844023288156,18.253106381652287
FIN,FIN,,0,0,0.0,10.52835505164905,15.487626655048855
FRA,FRA,,10,0,0.0,10.425981135614192,17.972141325785753
GBR,GBR,,4,0,0.12121212121212122,10.49877154255364,17.945693049063575
GEO,GEO,,10,0,0.12121212121212122,7.65911050655776,15.19541533996813
GHA,GHA,,2,1,0.0,6.787381469289156,16.992812490629376
GIN,GIN,,4,1,0.06060606060606061,6.601096827749518,16.12327531870279
GRC,GRC,,2,0,0.0,9.80597338844674,16.193248659031767
HRV,HRV,,4,0,0.13333333333333333,9.125017457130367,15.270093827132431
IDN,IDN,,14,1,0.5151515151515151,7.537983941518937,19.286790201760788
IND,IND,,92,1,1.0,6.826907292922754,20.89350139627056
IRN,IRN,,6,0,0.6666666666666666,8.110389120770153,18.128626882617354
ISR,ISR,,181,1,0.8787878787878788,10.25402810537328,15.801257967997913
ITA,ITA,,0,0,0.0,10.293641606796843,17.884861593728797
JOR,JOR,,0,1,0.030303030303030304,7.868933120437856,15.772319624891628
JPN,JPN,,1,0,0.0,10.546919210206251,18.656989787760587
KGZ,KGZ,,2,0,0.06060606060606061,6.583012464024856,15.518711478917156
KOR,KOR,,0,0,0.0,9.921042711749491,17.701845065427083
KWT,KWT,,1,1,0.0,10.224533408812077,14.826115005516677
LAO,LAO,,0,1,0.0,6.718345496347104,15.623682787438963
LBY,LBY,,15,1,0.32142857142857145,8.977783911971478,15.618445043678259
LKA,LKA,,25,1,0.48484848484848486,7.493387324696921,16.815995352906533
LTU,LTU,,1,0,0.0,9.204264552819339,14.969208103643703
LUX,LUX,,0,0,0.0,11.463782232387413,13.20977618660612
LVA,LVA,,1,0,0.0,9.136675566064719,14.58389723789086
MAR,MAR,,0,1,0.0,7.791697021320908,17.263497359930337
MDA,MDA,,0,0,0.030303030303030304,7.3920533136700115,14.85277039372672
MEX,MEX,,158,1,0.06060606060606061,9.039983946279108,18.50792913799359
MLI,MLI,,2,1,0.5151515151515151,6.414868349215529,16.5230057851717
MMR,MMR,,13,1,1.0,6.095447873333204,17.688341324571578
MOZ,MOZ,,4,1,0.3333333333333333,6.037716098001708,16.912028213010466
MRT,MRT,,0,1,0.030303030303030304,7.135996766867326,14.996401124876135
MYS,MYS,,0,1,0.030303030303030304,8.815139361731385,17.107695375665152
NGA,NGA,,25,1,0.5151515151515151,7.311699655085353,18.869605685737625
NLD,NLD,,1,0,0.0,10.630913213495518,16.61796043003479
NOR,NOR,,0,0,0.0,11.028988849174553,15.390924198757153
NPL,NPL,,17,0,0.3333333333333333,6.154981714511396,17.077115077720567
NZL,NZL,,0,1,0.0,10.221394824818926,15.267400776581836
OMN,OMN,,0,0,0.0,9.563800448135447,14.902311699754353
PAK,PAK,,104,1,0.9393939393939394,6.759752120568175,19.030005180786077
PER,PER,,17,1,0.36363636363636365,8.232053809420266,17.167300898863285
PHL,PHL,PHL,159,1,1.0,7.511874974702237,18.328667835865666
POL,POL,,2,0,0.0,9.072079021648904,17.453830884507177
PRK,PRK,,0,0,0.0,,17.01632993150364
PRT,PRT,,0,0,0.0,9.783140031673872,16.152042008110282
ROU,ROU,,0,0,0.0,8.543481162629138,16.85163601886188
RUS,RUS,,15,0,0.8888888888888888,9.307881433256005,18.78790268776896
SAU,SAU,,2,0,0.0,9.814234813951568,16.894491182239506
SDN,SDN,,9,1,0.9696969696969697,6.560588477465136,17.3406461283907
SGP,SGP,,0,1,0.0,10.572504327087046,15.35061151924746
SLV,SLV,,6,1,0.0,7.9133037268573885,15.612798282712124
SVN,SVN,,0,0,0.0,9.638443476873652,14.518359738868767
SWE,SWE,,0,0,0.0,10.667318063749203,16.056962029157514
SYR,SYR,,161,1,0.42424242424242425,7.0655780793400265,16.751317000564462
THA,THA,,16,0,0.6666666666666666,8.269505620694733,18.00960406460106
TKM,TKM,,1,0,0.0,7.733028319845329,15.502309180278186
TUN,TUN,,1,1,0.12121212121212122,8.03796116700235,16.170836327380584
TUR,TUR,,31,0,0.9696969696969697,8.854532109082397,18.08707642740759
TWN,TWN,,0,0,0.0,,
TZA,TZA,,2,1,0.030303030303030304,6.394114734134466,17.576249195768096
UKR,UKR,,38,0,0.3333333333333333,7.610349330817609,17.66432621467534
USA,USA,,17,1,0.5757575757575758,10.7360235233649,19.522324084385794
UZB,UZB,,1,0,0.09090909090909091,7.02408438401156,17.140622242455187
