Id,Label,case_study,journalist_killings_total,colonial_tie_flag,armed_conflict_pct,gdp_per_capita_log_mean,population_log_mean
AGO,AGO,,11,1,0.6363636363636364,7.421856768179436,16.89275566741276
ARE,ARE,,0,1,0.0,10.53687711500265,15.502122757922455
ARG,ARG,,4,1,0.0,9.05686055222645,17.5087102710672
ATG,ATG,,0,1,0.0,9.525100805061493,11.295881136044338
AUS,AUS,,0,1,0.030303030303030304,10.53085002531324,16.88157427524661
BDI,BDI,,4,1,0.696969696969697,5.232859154655949,15.973204395942107
BEL,BEL,,0,0,0.0,10.50942052609516,16.194558428254734
BEN,BEN,,0,1,0.09090909090909091,6.627875406472087,16.031783735317493
BFA,BFA,,3,1,0.21212121212121213,6.178757381053509,16.534963725122736
BGD,BGD,,38,1,0.12121212121212122,6.621187440936718,18.801055538045095
BHR,BHR,,3,1,0.0,9.84302620111547,13.779479761239442
BHS,BHS,,0,1,0.0,9.920646040577154,12.732688720416842
BLZ,BLZ,,0,1,0.0,8.56864155604619,12.591472357280438
BOL,BOL,,3,1,0.0,7.461057368792806,16.095136756940338
BRA,BRA,,60,1,0.0,8.751670230257977,19.04641061111347
BRB,BRB,,0,1,0.0,9.3777023001424,12.48998000086488
BRN,BRN,,0,1,0.0,10.241645417651716,12.783038256804979
BTN,BTN,,0,1,0.0,7.315550295544914,13.414594035698096
BWA,BWA,,0,1,0.0,8.523357690352894,14.47014088185233
CAF,CAF,,5,1,0.5454545454545454,5.915750580867913,15.263823822582028
CAN,CAN,,2,1,0.0,10.478093537073988,17.325723890503813
CHL,CHL,,1,1,0.0,9.08672841547223,16.637798152864075
CMR,CMR,,4,1,0.3333333333333333,7.0927086592342885,16.74245646692192
COD,COD,,16,1,0.696969696969697,5.675857926872823,17.9925532574479
COG,COG,,3,1,0.18181818181818182,7.437536988591482,15.217238719408593
COL,COL,,97,1,0.9696969696969697,8.355248843613623,17.57998878575869
COM,COM,,0,1,0.030303030303030304,7.032616768883799,13.355629123757085
CPV,CPV,,0,1,0.0,7.789152028652745,13.081960235329387
