term,coef,se_nonrobust,p_nonrobust,sig_nonrobust,se_clustered,p_clustered,sig_clustered,sig_changed
const,-2.8399313800769534,0.6424336796967846,9.843498361623228e-06,***,1.3508588917469218,0.035525661066451296,*,True
arms_tiv_total_log_lag1,-0.032560965290025376,0.020714718175846965,0.11597934574399124,,0.038477032305468284,0.39741653112826836,,False
oda_total_log_lag1,0.05755246650808943,0.023436734423576907,0.014062922050135516,*,0.04660533054849619,0.21687136684375274,,True
econ_neocol_score_total_lag1,-0.03183749148248803,0.016293910020332435,0.05070708705764356,.,0.030389164720704687,0.29479559884745343,,True
colonial_tie_flag,0.30766708819035904,0.10037240535002086,0.0021748396832808083,**,0.14205959981627525,0.030329483376653952,*,True
gdp_per_capita_log,0.24556465213109177,0.03687417438058218,2.7470556119235757e-11,***,0.08275167035988057,0.0030024325454930854,**,True
population_log,0.07089810010426134,0.034238776867513435,0.038387209364921675,*,0.0612166018701374,0.24680221107319655,,True
armed_conflict,-0.9651446350471999,0.1589123875411463,1.2519985149588328e-09,***,0.3720912605140141,0.009491105969977272,**,True
conflict_intensity,1.2454130553635692,0.09690290280979469,8.362556883184547e-38,***,0.2331807865485716,9.244734155505681e-08,***,False
alpha,0.4631639094895172,0.03653245430847236,7.815547114849827e-37,***,0.06676273895816012,3.992089837292526e-12,***,False
